P5;Erro
5.94;-0.0197
5.93;-0.0097
5.94;-0.0197
5.96;-0.0397
5.87;0.0503
5.95;-0.0297
5.92;0.0003
5.92;0.0003
5.89;0.030300000000001
5.87;0.0503
5.93;-0.0097
5.93;-0.0097
5.92;0.0003
5.93;-0.0097
5.97;-0.0497
5.92;0.0003
5.94;-0.0197
5.98;-0.0597
5.99;-0.0697
5.97;-0.0497
5.94;-0.0197
5.94;-0.0197
5.92;0.0003
5.93;-0.0097
5.91;0.0103
5.96;-0.0397
5.92;0.0003
5.92;0.0003
5.88;0.0403
5.83;0.0903
5.96;-0.0397
5.91;0.0103
5.91;0.0103
5.9;0.0203
5.89;0.030300000000001
5.95;-0.0297
5.91;0.0103
5.96;-0.0397
5.88;0.0403
5.88;0.0403
5.91;0.0103
5.93;-0.0097
5.95;-0.0297
5.95;-0.0297
5.91;0.0103
5.94;-0.0197
5.95;-0.0297
5.96;-0.0397
5.94;-0.0197
5.96;-0.0397
5.9;0.0203
5.96;-0.0397
5.91;0.0103
5.93;-0.0097
5.92;0.0003
5.95;-0.0297
5.95;-0.0297
5.94;-0.0197
5.91;0.0103
5.91;0.0103
5.93;-0.0097
5.95;-0.0297
5.91;0.0103
5.87;0.0503
5.89;0.030300000000001
5.9;0.0203
5.89;0.030300000000001
5.87;0.0503
5.88;0.0403
5.87;0.0503
5.88;0.0403
5.83;0.0903
5.85;0.070300000000001
5.82;0.1003
5.87;0.0503
5.88;0.0403
5.88;0.0403
5.86;0.0603
5.88;0.0403
5.89;0.030300000000001
5.92;0.0003
5.87;0.0503
5.87;0.0503
5.87;0.0503
5.87;0.0503
5.85;0.070300000000001
5.85;0.070300000000001
5.81;0.1103
5.84;0.0803
5.8;0.1203
5.87;0.0503
5.85;0.070300000000001
5.81;0.1103
5.9;0.0203
5.86;0.0603
5.86;0.0603
5.87;0.0503
5.87;0.0503
5.87;0.0503
5.85;0.070300000000001
5.85;0.070300000000001
5.83;0.0903
5.77;0.150300000000001
5.85;0.070300000000001
5.88;0.0403
5.83;0.0903
5.85;0.070300000000001
5.82;0.1003
5.83;0.0903
5.83;0.0903
5.85;0.070300000000001
5.84;0.0803
5.84;0.0803
5.87;0.0503
5.86;0.0603
5.84;0.0803
5.85;0.070300000000001
5.84;0.0803
5.84;0.0803
5.82;0.1003
5.84;0.0803
5.83;0.0903
5.84;0.0803
5.85;0.070300000000001
5.84;0.0803
5.88;0.0403
5.86;0.0603
5.86;0.0603
5.84;0.0803
5.87;0.0503
5.88;0.0403
5.86;0.0603
5.86;0.0603
5.83;0.0903
5.91;0.0103
5.86;0.0603
5.86;0.0603
5.91;0.0103
5.9;0.0203
5.91;0.0103
5.87;0.0503
5.88;0.0403
5.88;0.0403
5.9;0.0203
5.9;0.0203
5.88;0.0403
5.88;0.0403
5.88;0.0403
5.93;-0.0097
5.91;0.0103
5.9;0.0203
5.93;-0.0097
5.92;0.0003
5.91;0.0103
5.88;0.0403
5.9;0.0203
5.91;0.0103
5.93;-0.0097
5.94;-0.0197
5.88;0.0403
5.91;0.0103
5.89;0.030300000000001
5.91;0.0103
5.91;0.0103
5.92;0.0003
5.91;0.0103
5.9;0.0203
5.91;0.0103
5.87;0.0503
5.91;0.0103
5.88;0.0403
5.88;0.0403
5.92;0.0003
5.89;0.030300000000001
5.89;0.030300000000001
5.91;0.0103
5.91;0.0103
5.87;0.0503
5.93;-0.0097
5.91;0.0103
5.89;0.030300000000001
5.92;0.0003
5.91;0.0103
5.88;0.0403
5.87;0.0503
5.87;0.0503
5.85;0.070300000000001
5.86;0.0603
5.87;0.0503
5.89;0.030300000000001
5.87;0.0503
5.88;0.0403
5.9;0.0203
5.9;0.0203
5.91;0.0103
5.92;0.0003
5.9;0.0203
5.88;0.0403
5.88;0.0403
5.86;0.0603
5.89;0.030300000000001
5.91;0.0103
5.83;0.0903
5.88;0.0403
5.85;0.070300000000001
5.88;0.0403
5.91;0.0103
