P9;Erro
9.88;3.77263
8.12;2.01263
9.3;3.19263
8.18;2.07263
9.19;3.08263
8.05;1.94263
6.9;0.79263
8.1;1.99263
6.96;0.85263
6.84;0.732629999999999
6.83;0.72263
6.9;0.79263
6.95;0.84263
6.81;0.70263
9.87;3.76263
8.1;1.99263
8.34;2.23263
6.83;0.72263
6.72;0.612629999999999
6.73;0.62263
6.77;0.662629999999999
6.79;0.68263
6.91;0.80263
6.82;0.71263
6.78;0.67263
6.83;0.72263
6.8;0.692629999999999
6.81;0.70263
6.82;0.71263
6.73;0.62263
6.79;0.68263
6.88;0.77263
6.86;0.75263
6.82;0.71263
6.79;0.68263
6.88;0.77263
6.81;0.70263
6.9;0.79263
6.82;0.71263
6.86;0.75263
6.85;0.742629999999999
6.83;0.72263
6.85;0.742629999999999
6.83;0.72263
6.81;0.70263
6.83;0.72263
6.89;0.782629999999999
6.82;0.71263
6.85;0.742629999999999
6.83;0.72263
6.82;0.71263
6.81;0.70263
6.85;0.742629999999999
6.97;0.862629999999999
6.8;0.692629999999999
6.87;0.76263
6.85;0.742629999999999
6.85;0.742629999999999
6.75;0.64263
6.76;0.652629999999999
6.86;0.75263
6.88;0.77263
6.79;0.68263
6.79;0.68263
6.9;0.79263
6.9;0.79263
6.83;0.72263
6.8;0.692629999999999
6.81;0.70263
6.81;0.70263
6.85;0.742629999999999
6.97;0.862629999999999
6.85;0.742629999999999
6.88;0.77263
6.85;0.742629999999999
6.92;0.81263
6.91;0.80263
6.8;0.692629999999999
6.81;0.70263
6.86;0.75263
6.73;0.62263
6.81;0.70263
6.84;0.732629999999999
6.76;0.652629999999999
6.76;0.652629999999999
7.33;1.22263
6.85;0.742629999999999
6.82;0.71263
6.85;0.742629999999999
9.89;3.78263
8.56;2.45263
7.23;1.12263
7.28;1.17263
10.05;3.94263
6.82;0.71263
6.83;0.72263
7.27;1.16263
7.32;1.21263
7.32;1.21263
6.87;0.76263
6.99;0.88263
7;0.89263
6.92;0.81263
6.91;0.80263
8.59;2.48263
6.9;0.79263
7.24;1.13263
7.28;1.17263
7.27;1.16263
7.61;1.50263
7.37;1.26263
8.09;1.98263
8.03;1.92263
8.35;2.24263
6.92;0.81263
7.37;1.26263
7.25;1.14263
7.2;1.09263
8.83;2.72263
8.41;2.30263
6.85;0.742629999999999
7.48;1.37263
6.96;0.85263
7;0.89263
7.01;0.902629999999999
7.01;0.902629999999999
7.05;0.942629999999999
7.2;1.09263
7.06;0.952629999999999
7.01;0.902629999999999
7.08;0.97263
7;0.89263
6.95;0.84263
6.98;0.87263
6.95;0.84263
7.46;1.35263
7.53;1.42263
6.94;0.83263
6.76;0.652629999999999
6.99;0.88263
6.91;0.80263
6.88;0.77263
6.83;0.72263
6.9;0.79263
6.98;0.87263
6.96;0.85263
6.84;0.732629999999999
6.83;0.72263
6.81;0.70263
6.74;0.63263
6.86;0.75263
6.73;0.62263
6.75;0.64263
6.79;0.68263
