LS_X;LS_Y;LS_Z;ERRO_LS
2.71;1.02;0.0;0.29
3.13;1.18;0.0;0.22
3.04;1.14;0.0;0.15
2.74;1.0;0.0;0.26
3.11;1.14;0.0;0.18
3.05;1.13;0.0;0.13
3.13;1.14;0.0;0.19
3.1;1.17;0.0;0.19
3.07;1.14;0.0;0.16
3.07;1.18;0.0;0.19
3.07;1.17;0.0;0.18
3.05;1.17;0.0;0.17
3.13;1.18;0.0;0.22
3.08;1.18;0.0;0.2
3.02;1.13;0.0;0.14
3.12;1.14;0.0;0.18
3.07;1.13;0.0;0.14
3.05;1.14;0.0;0.15
3.07;1.15;0.0;0.17
3.03;1.13;0.0;0.13
3.11;1.17;0.0;0.2
3.12;1.18;0.0;0.22
3.07;1.17;0.0;0.19
3.03;1.14;0.0;0.14
3.11;1.14;0.0;0.18
3.07;1.15;0.0;0.16
3.07;1.14;0.0;0.16
3.07;1.12;0.0;0.14
3.06;1.14;0.0;0.15
3.08;1.11;0.0;0.14
3.09;1.12;0.0;0.15
3.09;1.17;0.0;0.19
3.06;1.16;0.0;0.17
