LS;Using
0.55;['P6', 'P9', 'P7']
0.5;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.43;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.38;['P6', 'P9', 'P7']
0.43;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.37;['P6', 'P9', 'P7']
0.39;['P6', 'P9', 'P7']
1.81;['P6', 'P9', 'P7']
0.43;['P6', 'P9', 'P7']
0.43;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
5.76;['P6', 'P9', 'P7']
4.67;['P6', 'P9', 'P7']
1.58;['P6', 'P9', 'P7']
1.69;['P6', 'P9', 'P7']
5.84;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
1.8;['P6', 'P9', 'P7']
1.82;['P6', 'P9', 'P7']
1.82;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.54;['P6', 'P9', 'P7']
1.24;['P6', 'P9', 'P7']
0.49;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
4.63;['P6', 'P9', 'P7']
0.48;['P6', 'P9', 'P7']
1.62;['P6', 'P9', 'P7']
1.7;['P6', 'P9', 'P7']
1.73;['P6', 'P9', 'P7']
2.26;['P6', 'P9', 'P7']
1.95;['P6', 'P9', 'P7']
3.12;['P6', 'P9', 'P7']
3.1;['P6', 'P9', 'P7']
3.67;['P6', 'P9', 'P7']
0.5;['P6', 'P9', 'P7']
1.9;['P6', 'P9', 'P7']
1.67;['P6', 'P9', 'P7']
1.57;['P6', 'P9', 'P7']
4.82;['P9', 'P6', 'P7']
3.74;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
2.03;['P6', 'P9', 'P7']
0.51;['P6', 'P9', 'P7']
0.53;['P6', 'P9', 'P7']
0.52;['P6', 'P9', 'P7']
0.57;['P6', 'P9', 'P7']
0.57;['P6', 'P9', 'P7']
1.6;['P6', 'P9', 'P7']
0.59;['P6', 'P9', 'P7']
0.52;['P6', 'P9', 'P7']
0.6;['P6', 'P9', 'P7']
0.52;['P6', 'P9', 'P7']
0.51;['P6', 'P9', 'P7']
0.53;['P6', 'P9', 'P7']
0.5;['P6', 'P9', 'P7']
3.43;['P6', 'P9', 'P7']
2.07;['P6', 'P9', 'P7']
0.51;['P6', 'P9', 'P7']
0.39;['P6', 'P9', 'P7']
0.54;['P6', 'P9', 'P7']
0.49;['P6', 'P9', 'P7']
0.48;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
0.54;['P6', 'P9', 'P7']
0.53;['P6', 'P9', 'P7']
0.43;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.4;['P6', 'P9', 'P7']
0.39;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
0.35;['P6', 'P9', 'P7']
0.36;['P6', 'P9', 'P7']
0.4;['P6', 'P9', 'P7']
