LS;Using
0.51;['P5', 'P9', 'P7']
0.83;['P5', 'P9', 'P7']
1.8;['P5', 'P9', 'P7']
1.84;['P5', 'P9', 'P7']
0.95;['P5', 'P9', 'P7']
1.62;['P7', 'P9', 'P5']
1.58;['P7', 'P9', 'P5']
2.23;['P9', 'P5', 'P7']
1.09;['P5', 'P9', 'P7']
0.47;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.99;['P5', 'P9', 'P7']
0.86;['P5', 'P9', 'P7']
1.47;['P5', 'P9', 'P7']
0.87;['P5', 'P9', 'P7']
0.97;['P5', 'P9', 'P7']
0.36;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.94;['P5', 'P9', 'P7']
1.04;['P5', 'P9', 'P7']
0.96;['P5', 'P9', 'P7']
0.46;['P5', 'P9', 'P7']
0.44;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.47;['P5', 'P9', 'P7']
0.44;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.54;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.56;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.43;['P5', 'P9', 'P7']
0.57;['P5', 'P9', 'P7']
0.57;['P5', 'P9', 'P7']
0.54;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.54;['P5', 'P9', 'P7']
0.47;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
0.59;['P5', 'P9', 'P7']
0.58;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
0.64;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.57;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.56;['P5', 'P9', 'P7']
0.54;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
2.85;['P5', 'P9', 'P7']
5.07;['P5', 'P9', 'P7']
4.74;['P5', 'P9', 'P7']
0.56;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
3.62;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
5.05;['P5', 'P9', 'P7']
4.84;['P5', 'P9', 'P7']
4.81;['P5', 'P9', 'P7']
5.06;['P5', 'P9', 'P7']
5.17;['P5', 'P9', 'P7']
2.18;['P5', 'P9', 'P7']
2.03;['P5', 'P9', 'P7']
1.25;['P5', 'P9', 'P7']
4.49;['P5', 'P9', 'P7']
4.61;['P5', 'P9', 'P7']
3.84;['P5', 'P9', 'P7']
4.88;['P5', 'P9', 'P7']
4.4;['P5', 'P9', 'P7']
3.39;['P5', 'P9', 'P7']
2.56;['P5', 'P9', 'P7']
3.69;['P5', 'P9', 'P7']
3.6;['P5', 'P9', 'P7']
3.6;['P5', 'P9', 'P7']
1.74;['P5', 'P9', 'P7']
1.78;['P7', 'P9', 'P5']
1.73;['P7', 'P9', 'P5']
3.83;['P7', 'P9', 'P5']
5.87;['P7', 'P9', 'P5']
4.07;['P9', 'P7', 'P5']
3.74;['P9', 'P7', 'P5']
5.14;['P9', 'P5', 'P7']
5.15;['P9', 'P5', 'P7']
1.82;['P9', 'P5', 'P7']
1.58;['P9', 'P5', 'P7']
3.63;['P5', 'P9', 'P7']
5.13;['P5', 'P9', 'P7']
5.55;['P5', 'P9', 'P7']
5.08;['P5', 'P9', 'P7']
2.13;['P5', 'P9', 'P7']
4.36;['P5', 'P9', 'P7']
2.26;['P5', 'P9', 'P7']
4.26;['P5', 'P9', 'P7']
1.91;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
2.08;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
0.47;['P5', 'P9', 'P7']
0.47;['P5', 'P9', 'P7']
0.57;['P5', 'P9', 'P7']
0.56;['P5', 'P9', 'P7']
0.42;['P5', 'P9', 'P7']
5.13;['P5', 'P9', 'P7']
2.15;['P5', 'P9', 'P7']
2.72;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.41;['P5', 'P9', 'P7']
0.43;['P5', 'P9', 'P7']
0.45;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
0.46;['P5', 'P9', 'P7']
0.46;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.46;['P5', 'P9', 'P7']
0.46;['P5', 'P9', 'P7']
0.44;['P5', 'P9', 'P7']
0.47;['P5', 'P9', 'P7']
0.47;['P5', 'P9', 'P7']
0.57;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.6;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.61;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.56;['P5', 'P9', 'P7']
0.58;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.49;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.54;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.54;['P5', 'P9', 'P7']
0.56;['P5', 'P9', 'P7']
0.47;['P5', 'P9', 'P7']
0.59;['P5', 'P9', 'P7']
0.62;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.59;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
0.54;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.58;['P5', 'P9', 'P7']
0.59;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.51;['P5', 'P9', 'P7']
0.51;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
0.6;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
0.66;['P5', 'P9', 'P7']
0.54;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.57;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.46;['P5', 'P9', 'P7']
0.43;['P5', 'P9', 'P7']
0.92;['P5', 'P9', 'P7']
0.49;['P5', 'P9', 'P7']
0.49;['P5', 'P9', 'P7']
0.56;['P5', 'P9', 'P7']
5.12;['P5', 'P9', 'P7']
3.14;['P5', 'P9', 'P7']
0.87;['P5', 'P9', 'P7']
0.92;['P5', 'P9', 'P7']
5.25;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.84;['P5', 'P9', 'P7']
0.91;['P5', 'P9', 'P7']
0.88;['P5', 'P9', 'P7']
0.51;['P5', 'P9', 'P7']
0.59;['P5', 'P9', 'P7']
0.6;['P5', 'P9', 'P7']
0.67;['P5', 'P9', 'P7']
0.57;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
3.11;['P5', 'P9', 'P7']
0.54;['P5', 'P9', 'P7']
0.9;['P5', 'P9', 'P7']
0.91;['P5', 'P9', 'P7']
0.9;['P5', 'P9', 'P7']
1.27;['P5', 'P9', 'P7']
0.96;['P5', 'P9', 'P7']
2.02;['P5', 'P9', 'P7']
1.94;['P5', 'P9', 'P7']
2.66;['P5', 'P9', 'P7']
0.58;['P5', 'P9', 'P7']
1.01;['P5', 'P9', 'P7']
0.84;['P5', 'P9', 'P7']
0.83;['P5', 'P9', 'P7']
3.57;['P9', 'P5', 'P7']
2.79;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
1.11;['P5', 'P9', 'P7']
0.58;['P5', 'P9', 'P7']
0.61;['P5', 'P9', 'P7']
0.66;['P5', 'P9', 'P7']
0.66;['P5', 'P9', 'P7']
0.67;['P5', 'P9', 'P7']
0.83;['P5', 'P9', 'P7']
0.69;['P5', 'P9', 'P7']
0.61;['P5', 'P9', 'P7']
0.73;['P5', 'P9', 'P7']
0.64;['P5', 'P9', 'P7']
0.61;['P5', 'P9', 'P7']
0.65;['P5', 'P9', 'P7']
0.6;['P5', 'P9', 'P7']
1.1;['P5', 'P9', 'P7']
1.2;['P5', 'P9', 'P7']
0.61;['P5', 'P9', 'P7']
0.47;['P5', 'P9', 'P7']
0.62;['P5', 'P9', 'P7']
0.55;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.54;['P5', 'P9', 'P7']
0.62;['P5', 'P9', 'P7']
0.63;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.44;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.51;['P5', 'P9', 'P7']
0.44;['P5', 'P9', 'P7']
0.44;['P5', 'P9', 'P7']
0.46;['P5', 'P9', 'P7']
