Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.66;P8[5.90,10.00,0.00]=9.10;[2.25,1.35,0.57]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.67;P8[5.90,10.00,0.00]=9.04;[2.25,1.39,0.52]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.74;P8[5.90,10.00,0.00]=9.19;[2.27,1.37,0.50]
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.68;P8[5.90,10.00,0.00]=9.18;[2.29,1.37,0.52]
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.56;P3[13.00,0.00,0.00]=10.70;P8[5.90,10.00,0.00]=9.21;[2.31,1.35,0.54]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.63;P8[5.90,10.00,0.00]=9.01;[2.29,1.38,0.62]
P1[0.00,0.00,0.00]=2.59;P2[8.00,2.40,0.00]=5.61;P3[13.00,0.00,0.00]=10.66;P8[5.90,10.00,0.00]=9.10;[2.29,1.40,0.62]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.68;P8[5.90,10.00,0.00]=9.18;[2.25,1.46,0.33]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.61;P3[13.00,0.00,0.00]=10.78;P8[5.90,10.00,0.00]=9.16;[2.27,1.44,0.38]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.72;P8[5.90,10.00,0.00]=9.12;[2.26,1.44,0.44]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.72;P3[13.00,0.00,0.00]=10.63;P8[5.90,10.00,0.00]=9.04;[2.24,1.45,0.56]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.57;P8[5.90,10.00,0.00]=9.02;[2.25,1.45,0.61]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.71;P8[5.90,10.00,0.00]=9.12;[2.24,1.45,0.58]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.68;P8[5.90,10.00,0.00]=9.05;[2.23,1.45,0.65]
