Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.22;P2[8.00,2.40,0.00]=5.86;P3[13.00,0.00,0.00]=10.82;P8[5.90,10.00,0.00]=9.37;[2.12,1.30,0.34]
P1[0.00,0.00,0.00]=2.09;P2[8.00,2.40,0.00]=5.90;P3[13.00,0.00,0.00]=10.93;P8[5.90,10.00,0.00]=9.33;[2.07,1.28,0.41]
P1[0.00,0.00,0.00]=2.42;P2[8.00,2.40,0.00]=5.74;P3[13.00,0.00,0.00]=10.62;P8[5.90,10.00,0.00]=9.19;[2.10,1.29,0.54]
P1[0.00,0.00,0.00]=2.61;P2[8.00,2.40,0.00]=5.71;P8[5.90,10.00,0.00]=9.32;null;[2.16,1.29,0.54]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.69;P3[13.00,0.00,0.00]=11.08;P8[5.90,10.00,0.00]=9.34;[2.19,1.27,0.61]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.70;P8[5.90,10.00,0.00]=9.24;[2.23,1.27,0.60]
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.66;P8[5.90,10.00,0.00]=9.05;[2.23,1.33,0.56]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.61;P8[5.90,10.00,0.00]=9.14;[2.25,1.35,0.50]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.61;P3[13.00,0.00,0.00]=10.53;P8[5.90,10.00,0.00]=9.15;[2.26,1.34,0.61]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.09;[2.28,1.34,0.67]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.59;P8[5.90,10.00,0.00]=9.14;[2.27,1.33,0.72]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.52;P8[5.90,10.00,0.00]=9.10;[2.28,1.34,0.76]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.15;[2.30,1.32,0.78]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.14;[2.31,1.34,0.63]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.18;[2.32,1.31,0.68]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.42;P8[5.90,10.00,0.00]=9.08;[2.34,1.32,0.68]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.51;P8[5.90,10.00,0.00]=9.04;[2.33,1.34,0.66]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.46;P8[5.90,10.00,0.00]=9.14;[2.32,1.33,0.69]
P1[0.00,0.00,0.00]=2.43;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.52;P8[5.90,10.00,0.00]=9.20;[2.31,1.31,0.72]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.48;P8[5.90,10.00,0.00]=9.17;[2.31,1.30,0.75]
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.66;P3[13.00,0.00,0.00]=10.48;P8[5.90,10.00,0.00]=9.25;[2.31,1.27,0.77]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.07;[2.32,1.30,0.77]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=9.21;[2.32,1.28,0.80]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.19;[2.33,1.29,0.68]
