TagID,Distance,Timestamp
49BA,426,"14:15:13
"
8704,75,"14:15:13
"
49BA,425,"14:15:13
"
8704,75,"14:15:13
"
49BA,428,"14:15:13
"
8704,77,"14:15:13
"
49BA,429,"14:15:14
"
8704,75,"14:15:14
"
49BA,427,"14:15:14
"
8704,75,"14:15:14
"
49BA,427,"14:15:14
"
8704,73,"14:15:14
"
49BA,428,"14:15:14
"
8704,73,"14:15:14
"
49BA,427,"14:15:14
"
8704,73,"14:15:14
"
49BA,426,"14:15:14
"
8704,79,"14:15:14
"
49BA,427,"14:15:14
"
8704,76,"14:15:14
"
49BA,425,"14:15:14
"
8704,74,"14:15:14
"
49BA,428,"14:15:14
"
8704,79,"14:15:14
"
49BA,427,"14:15:14
"
8704,75,"14:15:14
"
49BA,427,"14:15:15
"
8704,77,"14:15:15
"
49BA,425,"14:15:15
"
8704,75,"14:15:15
"
49BA,426,"14:15:15
"
8704,75,"14:15:15
"
49BA,427,"14:15:15
"
8704,75,"14:15:15
"
49BA,428,"14:15:15
"
8704,75,"14:15:15
"
49BA,428,"14:15:15
"
8704,75,"14:15:15
"
49BA,426,"14:15:15
"
8704,74,"14:15:15
"
49BA,427,"14:15:15
"
8704,76,"14:15:15
"
49BA,426,"14:15:15
"
8704,74,"14:15:15
"
49BA,425,"14:15:15
"
8704,74,"14:15:15
"
49BA,428,"14:15:16
"
8704,76,"14:15:16
"
49BA,427,"14:15:16
"
8704,75,"14:15:16
"
49BA,427,"14:15:16
"
8704,77,"14:15:16
"
49BA,428,"14:15:16
"
8704,77,"14:15:16
"
49BA,426,"14:15:16
"
8704,74,"14:15:16
"
49BA,428,"14:15:16
"
8704,77,"14:15:16
"
49BA,426,"14:15:16
"
8704,77,"14:15:16
"
49BA,426,"14:15:16
"
8704,75,"14:15:16
"
49BA,429,"14:15:16
"
8704,74,"14:15:16
"
49BA,427,"14:15:16
"
8704,76,"14:15:16
"
49BA,426,"14:15:17
"
8704,75,"14:15:17
"
49BA,428,"14:15:17
"
8704,75,"14:15:17
"
49BA,429,"14:15:17
"
8704,77,"14:15:17
"
49BA,427,"14:15:17
"
8704,76,"14:15:17
"
49BA,427,"14:15:17
"
8704,77,"14:15:17
"
49BA,428,"14:15:17
"
8704,75,"14:15:17
"
49BA,426,"14:15:17
"
8704,77,"14:15:17
"
49BA,428,"14:15:17
"
8704,75,"14:15:17
"
49BA,428,"14:15:17
"
8704,79,"14:15:17
"
49BA,426,"14:15:17
"
8704,72,"14:15:17
"
49BA,427,"14:15:18
"
8704,77,"14:15:18
"
49BA,426,"14:15:18
"
8704,77,"14:15:18
"
49BA,427,"14:15:18
"
8704,76,"14:15:18
"
49BA,427,"14:15:18
"
8704,76,"14:15:18
"
49BA,428,"14:15:18
"
8704,74,"14:15:18
"
49BA,426,"14:15:18
"
8704,74,"14:15:18
"
49BA,427,"14:15:18
"
8704,75,"14:15:18
"
49BA,427,"14:15:18
"
8704,77,"14:15:18
"
49BA,427,"14:15:18
"
8704,76,"14:15:18
"
49BA,428,"14:15:18
"
8704,75,"14:15:18
"
49BA,427,"14:15:19
"
8704,73,"14:15:19
"
49BA,428,"14:15:19
"
8704,78,"14:15:19
"
49BA,427,"14:15:19
"
8704,77,"14:15:19
"
49BA,426,"14:15:19
"
8704,75,"14:15:19
"
49BA,426,"14:15:19
"
8704,77,"14:15:19
"
49BA,426,"14:15:19
"
8704,77,"14:15:19
"
49BA,427,"14:15:19
"
8704,75,"14:15:19
"
49BA,427,"14:15:19
"
8704,74,"14:15:19
"
49BA,427,"14:15:19
"
8704,73,"14:15:19
"
49BA,425,"14:15:19
"
8704,78,"14:15:19
"
49BA,424,"14:15:20
"
8704,75,"14:15:20
"
49BA,427,"14:15:20
"
8704,76,"14:15:20
"
49BA,427,"14:15:20
"
8704,76,"14:15:20
"
49BA,426,"14:15:20
"
8704,76,"14:15:20
"
49BA,428,"14:15:20
"
8704,77,"14:15:20
"
49BA,428,"14:15:20
"
8704,75,"14:15:20
"
49BA,426,"14:15:20
"
8704,77,"14:15:20
"
49BA,426,"14:15:20
"
8704,78,"14:15:20
"
49BA,427,"14:15:20
"
8704,76,"14:15:20
"
49BA,427,"14:15:20
"
8704,77,"14:15:20
"
49BA,427,"14:15:21
"
8704,73,"14:15:21
"
49BA,425,"14:15:21
"
8704,77,"14:15:21
"
49BA,428,"14:15:21
"
8704,77,"14:15:21
"
49BA,428,"14:15:21
"
8704,75,"14:15:21
"
49BA,426,"14:15:21
"
8704,74,"14:15:21
"
49BA,426,"14:15:21
"
8704,73,"14:15:21
"
49BA,426,"14:15:21
"
8704,75,"14:15:21
"
49BA,427,"14:15:21
"
8704,76,"14:15:21
"
49BA,428,"14:15:21
"
8704,76,"14:15:21
"
49BA,428,"14:15:21
"
8704,76,"14:15:21
"
49BA,427,"14:15:22
"
8704,76,"14:15:22
"
49BA,426,"14:15:22
"
8704,74,"14:15:22
"
49BA,428,"14:15:22
"
8704,78,"14:15:22
"
49BA,426,"14:15:22
"
8704,73,"14:15:22
"
49BA,428,"14:15:22
"
8704,78,"14:15:22
"
49BA,427,"14:15:22
"
8704,74,"14:15:22
"
49BA,426,"14:15:22
"
8704,77,"14:15:22
"
49BA,426,"14:15:22
"
8704,76,"14:15:22
"
49BA,427,"14:15:22
"
8704,77,"14:15:22
"
49BA,426,"14:15:22
"
8704,75,"14:15:22
"
49BA,427,"14:15:23
"
8704,74,"14:15:23
"
49BA,427,"14:15:23
"
8704,76,"14:15:23
"
49BA,426,"14:15:23
"
8704,76,"14:15:23
"
49BA,427,"14:15:23
"
8704,76,"14:15:23
"
49BA,427,"14:15:23
"
8704,78,"14:15:23
"
49BA,427,"14:15:23
"
8704,73,"14:15:23
"
49BA,428,"14:15:23
"
8704,76,"14:15:23
"
49BA,427,"14:15:23
"
8704,75,"14:15:23
"
49BA,426,"14:15:23
"
8704,75,"14:15:23
"
49BA,426,"14:15:23
"
8704,75,"14:15:23
"
49BA,424,"14:15:24
"
8704,77,"14:15:24
"
49BA,426,"14:15:24
"
8704,75,"14:15:24
"
49BA,426,"14:15:24
"
8704,72,"14:15:24
"
49BA,426,"14:15:24
"
8704,75,"14:15:24
"
49BA,428,"14:15:24
"
