Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM;ERRO LS;ERRO_DWM
P2[8.00,2.40,0.00]=2.21;P1[0.00,0.00,0.00]=6.23;P3[13.00,0.00,0.00]=7.10;P8[5.90,10.00,0.00]=8.90;[6.06, 1.12, 0.0];[6.10,1.14,-0.34];19:09:26.330;6.10;1.14;6.06;1.12;5.92;1.40;-0.14;0.28;-0.18;0.26;0.31;0.32
P2[8.00,2.40,0.00]=2.21;P1[0.00,0.00,0.00]=6.24;P3[13.00,0.00,0.00]=7.06;P8[5.90,10.00,0.00]=8.84;[6.08, 1.17, 0.0];[6.13,1.13,-0.41];19:09:26.429;6.13;1.13;6.08;1.17;5.92;1.40;-0.16;0.23;-0.21;0.27;0.28;0.34
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.26;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.80;[6.1, 1.21, 0.0];[6.15,1.13,-0.47];19:09:26.530;6.15;1.13;6.1;1.21;5.92;1.40;-0.18;0.19;-0.23;0.27;0.26;0.35
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.01;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.76;[5.99, 1.23, 0.0];[6.14,1.11,-0.42];19:09:26.631;6.14;1.11;5.99;1.23;5.92;1.40;-0.07;0.17;-0.22;0.29;0.18;0.36
P2[8.00,2.40,0.00]=2.19;P1[0.00,0.00,0.00]=6.21;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.74;[6.07, 1.26, 0.0];[6.13,1.15,-0.26];19:09:26.730;6.13;1.15;6.07;1.26;5.92;1.40;-0.15;0.14;-0.21;0.25;0.21;0.33
P2[8.00,2.40,0.00]=2.08;P1[0.00,0.00,0.00]=6.32;P3[13.00,0.00,0.00]=7.10;P8[5.90,10.00,0.00]=8.70;[6.1, 1.32, 0.0];[6.16,1.17,-0.36];19:09:26.830;6.16;1.17;6.1;1.32;5.92;1.40;-0.18;0.08;-0.24;0.23;0.2;0.33
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.41;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.73;[6.16, 1.3, 0.0];[6.18,1.20,-0.41];19:09:26.928;6.18;1.20;6.16;1.3;5.92;1.40;-0.24;0.1;-0.26;0.2;0.26;0.33
P2[8.00,2.40,0.00]=2.07;P1[0.00,0.00,0.00]=6.43;P3[13.00,0.00,0.00]=7.03;P8[5.90,10.00,0.00]=8.88;[6.19, 1.15, 0.0];[6.24,1.17,-0.46];19:09:27.029;6.24;1.17;6.19;1.15;5.92;1.40;-0.27;0.25;-0.32;0.23;0.37;0.39
P2[8.00,2.40,0.00]=2.10;P1[0.00,0.00,0.00]=6.41;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=8.70;[6.21, 1.32, 0.0];[6.24,1.20,-0.46];19:09:27.129;6.24;1.20;6.21;1.32;5.92;1.40;-0.29;0.08;-0.32;0.2;0.3;0.38
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.02;P3[13.00,0.00,0.00]=7.02;P8[5.90,10.00,0.00]=8.86;[6.02, 1.13, 0.0];[6.24,1.12,-0.51];19:09:27.230;6.24;1.12;6.02;1.13;5.92;1.40;-0.1;0.27;-0.32;0.28;0.29;0.43
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.31;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.81;[6.16, 1.2, 0.0];[6.25,1.12,-0.55];19:09:27.329;6.25;1.12;6.16;1.2;5.92;1.40;-0.24;0.2;-0.33;0.28;0.31;0.43
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.33;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=8.81;[6.16, 1.21, 0.0];[6.26,1.12,-0.56];19:09:27.429;6.26;1.12;6.16;1.21;5.92;1.40;-0.24;0.19;-0.34;0.28;0.31;0.44
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.32;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=8.70;[6.18, 1.3, 0.0];[6.24,1.17,-0.38];19:09:27.529;6.24;1.17;6.18;1.3;5.92;1.40;-0.26;0.1;-0.32;0.23;0.28;0.39
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.31;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.74;[6.16, 1.27, 0.0];[6.22,1.19,-0.15];19:09:27.629;6.22;1.19;6.16;1.27;5.92;1.40;-0.24;0.13;-0.3;0.21;0.27;0.37
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.05;P3[13.00,0.00,0.00]=6.90;P8[5.90,10.00,0.00]=8.68;[6.09, 1.29, 0.0];[6.18,1.23,0.06];19:09:27.728;6.18;1.23;6.09;1.29;5.92;1.40;-0.17;0.11;-0.26;0.17;0.2;0.31
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.01;P3[13.00,0.00,0.00]=6.92;P8[5.90,10.00,0.00]=8.85;[6.07, 1.13, 0.0];[6.19,1.14,-0.09];19:09:27.830;6.19;1.14;6.07;1.13;5.92;1.40;-0.15;0.27;-0.27;0.26;0.31;0.37
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.30;P3[13.00,0.00,0.00]=6.89;P8[5.90,10.00,0.00]=8.87;[6.2, 1.14, 0.0];[6.22,1.12,-0.21];19:09:27.929;6.22;1.12;6.2;1.14;5.92;1.40;-0.28;0.26;-0.3;0.28;0.38;0.41
P2[8.00,2.40,0.00]=2.22;P1[0.00,0.00,0.00]=6.34;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=8.74;[6.18, 1.27, 0.0];[6.21,1.16,-0.02];19:09:28.025;6.21;1.16;6.18;1.27;5.92;1.40;-0.26;0.13;-0.29;0.24;0.29;0.38
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.30;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=8.73;[6.17, 1.27, 0.0];[6.20,1.19,-0.00];19:09:28.126;6.20;1.19;6.17;1.27;5.92;1.40;-0.25;0.13;-0.28;0.21;0.28;0.35
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.37;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=8.86;[6.18, 1.16, 0.0];[6.21,1.18,-0.06];19:09:28.228;6.21;1.18;6.18;1.16;5.92;1.40;-0.26;0.24;-0.29;0.22;0.35;0.36
P2[8.00,2.40,0.00]=2.10;P1[0.00,0.00,0.00]=6.32;P3[13.00,0.00,0.00]=7.00;P8[5.90,10.00,0.00]=8.89;[6.16, 1.13, 0.0];[6.24,1.14,-0.14];19:09:28.328;6.24;1.14;6.16;1.13;5.92;1.40;-0.24;0.27;-0.32;0.26;0.36;0.41
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.31;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=8.84;[6.15, 1.18, 0.0];[6.25,1.13,-0.25];19:09:28.428;6.25;1.13;6.15;1.18;5.92;1.40;-0.23;0.22;-0.33;0.27;0.32;0.43
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=5.99;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=8.80;[6.05, 1.18, 0.0];[6.24,1.08,-0.34];19:09:28.529;6.24;1.08;6.05;1.18;5.92;1.40;-0.13;0.22;-0.32;0.32;0.26;0.45
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.34;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=8.77;[6.19, 1.24, 0.0];[6.23,1.12,-0.12];19:09:28.628;6.23;1.12;6.19;1.24;5.92;1.40;-0.27;0.16;-0.31;0.28;0.31;0.42
P2[8.00,2.40,0.00]=2.07;P1[0.00,0.00,0.00]=6.36;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=8.86;[6.18, 1.16, 0.0];[6.26,1.11,-0.21];19:09:28.728;6.26;1.11;6.18;1.16;5.92;1.40;-0.26;0.24;-0.34;0.29;0.35;0.45
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.29;P3[13.00,0.00,0.00]=7.00;P8[5.90,10.00,0.00]=8.87;[6.14, 1.15, 0.0];[6.26,1.09,-0.28];19:09:28.828;6.26;1.09;6.14;1.15;5.92;1.40;-0.22;0.25;-0.34;0.31;0.33;0.46
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.32;P3[13.00,0.00,0.00]=7.07;P8[5.90,10.00,0.00]=8.69;[6.11, 1.33, 0.0];[6.24,1.15,-0.25];19:09:28.928;6.24;1.15;6.11;1.33;5.92;1.40;-0.19;0.07;-0.32;0.25;0.2;0.41
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.30;P3[13.00,0.00,0.00]=7.07;P8[5.90,10.00,0.00]=8.70;[6.1, 1.32, 0.0];[6.24,1.17,-0.37];19:09:29.028;6.24;1.17;6.1;1.32;5.92;1.40;-0.18;0.08;-0.32;0.23;0.2;0.39
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.30;P3[13.00,0.00,0.00]=7.07;P8[5.90,10.00,0.00]=8.86;[6.11, 1.16, 0.0];[6.25,1.14,-0.39];19:09:29.127;6.25;1.14;6.11;1.16;5.92;1.40;-0.19;0.24;-0.33;0.26;0.31;0.42
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.40;P3[13.00,0.00,0.00]=7.09;P8[5.90,10.00,0.00]=8.79;[6.14, 1.24, 0.0];[6.26,1.16,-0.39];19:09:29.227;6.26;1.16;6.14;1.24;5.92;1.40;-0.22;0.16;-0.34;0.24;0.27;0.42
P2[8.00,2.40,0.00]=2.07;P1[0.00,0.00,0.00]=6.35;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=8.73;[6.18, 1.28, 0.0];[6.27,1.17,-0.45];19:09:29.328;6.27;1.17;6.18;1.28;5.92;1.40;-0.26;0.12;-0.35;0.23;0.29;0.42
P2[8.00,2.40,0.00]=2.09;P1[0.00,0.00,0.00]=6.37;P3[13.00,0.00,0.00]=7.09;P8[5.90,10.00,0.00]=8.74;[6.13, 1.29, 0.0];[6.28,1.18,-0.52];19:09:29.427;6.28;1.18;6.13;1.29;5.92;1.40;-0.21;0.11;-0.36;0.22;0.24;0.42
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.02;P3[13.00,0.00,0.00]=7.04;P8[5.90,10.00,0.00]=8.91;[6.01, 1.09, 0.0];[6.27,1.09,-0.51];19:09:29.529;6.27;1.09;6.01;1.09;5.92;1.40;-0.09;0.31;-0.35;0.31;0.32;0.47
P2[8.00,2.40,0.00]=2.06;P1[0.00,0.00,0.00]=6.27;P3[13.00,0.00,0.00]=7.06;P8[5.90,10.00,0.00]=8.84;[6.1, 1.18, 0.0];[6.30,1.06,-0.54];19:09:29.628;6.30;1.06;6.1;1.18;5.92;1.40;-0.18;0.22;-0.38;0.34;0.28;0.51
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=5.77;P3[13.00,0.00,0.00]=7.15;P8[5.90,10.00,0.00]=8.83;[5.85, 1.16, 0.0];[6.25,0.99,-0.50];19:09:29.729;6.25;0.99;5.85;1.16;5.92;1.40;0.07;0.24;-0.33;0.41;0.25;0.53
P2[8.00,2.40,0.00]=2.09;P1[0.00,0.00,0.00]=6.40;P3[13.00,0.00,0.00]=7.12;P8[5.90,10.00,0.00]=8.84;[6.12, 1.2, 0.0];[6.28,1.02,-0.54];19:09:29.827;6.28;1.02;6.12;1.2;5.92;1.40;-0.2;0.2;-0.36;0.38;0.28;0.52
P2[8.00,2.40,0.00]=2.09;P1[0.00,0.00,0.00]=6.35;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.88;[6.14, 1.15, 0.0];[6.30,1.02,-0.53];19:09:29.928;6.30;1.02;6.14;1.15;5.92;1.40;-0.22;0.25;-0.38;0.38;0.33;0.54
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.42;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=8.82;[6.19, 1.21, 0.0];[6.30,1.07,-0.48];19:09:30.027;6.30;1.07;6.19;1.21;5.92;1.40;-0.27;0.19;-0.38;0.33;0.33;0.5
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.39;P3[13.00,0.00,0.00]=7.04;P8[5.90,10.00,0.00]=8.82;[6.16, 1.21, 0.0];[6.29,1.10,-0.42];19:09:30.127;6.29;1.10;6.16;1.21;5.92;1.40;-0.24;0.19;-0.37;0.3;0.31;0.48
P2[8.00,2.40,0.00]=2.04;P1[0.00,0.00,0.00]=6.36;P3[13.00,0.00,0.00]=7.06;P8[5.90,10.00,0.00]=8.91;[6.14, 1.12, 0.0];[6.31,1.08,-0.36];19:09:30.227;6.31;1.08;6.14;1.12;5.92;1.40;-0.22;0.28;-0.39;0.32;0.36;0.5
P2[8.00,2.40,0.00]=2.05;P1[0.00,0.00,0.00]=6.35;P3[13.00,0.00,0.00]=7.12;P8[5.90,10.00,0.00]=8.70;[6.1, 1.33, 0.0];[6.31,1.12,-0.43];19:09:30.327;6.31;1.12;6.1;1.33;5.92;1.40;-0.18;0.07;-0.39;0.28;0.19;0.48
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.05;P3[13.00,0.00,0.00]=7.03;P8[5.90,10.00,0.00]=8.70;[6.02, 1.29, 0.0];[6.27,1.12,-0.45];19:09:30.428;6.27;1.12;6.02;1.29;5.92;1.40;-0.1;0.11;-0.35;0.28;0.15;0.45
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.30;P3[13.00,0.00,0.00]=7.07;P8[5.90,10.00,0.00]=8.86;[6.11, 1.16, 0.0];[6.27,1.10,-0.45];19:09:30.526;6.27;1.10;6.11;1.16;5.92;1.40;-0.19;0.24;-0.35;0.3;0.31;0.46
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.34;P3[13.00,0.00,0.00]=7.07;P8[5.90,10.00,0.00]=8.83;[6.12, 1.2, 0.0];[6.28,1.10,-0.50];19:09:30.627;6.28;1.10;6.12;1.2;5.92;1.40;-0.2;0.2;-0.36;0.3;0.28;0.47
P2[8.00,2.40,0.00]=2.08;P1[0.00,0.00,0.00]=6.39;P3[13.00,0.00,0.00]=7.09;P8[5.90,10.00,0.00]=8.73;[6.14, 1.3, 0.0];[6.27,1.15,-0.42];19:09:30.727;6.27;1.15;6.14;1.3;5.92;1.40;-0.22;0.1;-0.35;0.25;0.24;0.43
P2[8.00,2.40,0.00]=2.08;P1[0.00,0.00,0.00]=6.37;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.75;[6.15, 1.28, 0.0];[6.29,1.16,-0.49];19:09:30.826;6.29;1.16;6.15;1.28;5.92;1.40;-0.23;0.12;-0.37;0.24;0.26;0.44
P2[8.00,2.40,0.00]=2.08;P1[0.00,0.00,0.00]=6.38;P3[13.00,0.00,0.00]=7.09;P8[5.90,10.00,0.00]=8.82;[6.13, 1.21, 0.0];[6.30,1.15,-0.52];19:09:30.927;6.30;1.15;6.13;1.21;5.92;1.40;-0.21;0.19;-0.38;0.25;0.28;0.45
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.39;P3[13.00,0.00,0.00]=7.07;P8[5.90,10.00,0.00]=8.85;[6.15, 1.18, 0.0];[6.32,1.13,-0.56];19:09:31.026;6.32;1.13;6.15;1.18;5.92;1.40;-0.23;0.22;-0.4;0.27;0.32;0.48
P2[8.00,2.40,0.00]=2.10;P1[0.00,0.00,0.00]=6.38;P3[13.00,0.00,0.00]=7.06;P8[5.90,10.00,0.00]=8.82;[6.15, 1.21, 0.0];[6.33,1.13,-0.59];19:09:31.126;6.33;1.13;6.15;1.21;5.92;1.40;-0.23;0.19;-0.41;0.27;0.3;0.49
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.36;P3[13.00,0.00,0.00]=7.04;P8[5.90,10.00,0.00]=8.76;[6.15, 1.26, 0.0];[6.30,1.16,-0.47];19:09:31.226;6.30;1.16;6.15;1.26;5.92;1.40;-0.23;0.14;-0.38;0.24;0.27;0.45
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.38;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.81;[6.19, 1.21, 0.0];[6.29,1.17,-0.42];19:09:31.325;6.29;1.17;6.19;1.21;5.92;1.40;-0.27;0.19;-0.37;0.23;0.33;0.44
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.04;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=8.79;[6.03, 1.2, 0.0];[6.26,1.13,-0.41];19:09:31.427;6.26;1.13;6.03;1.2;5.92;1.40;-0.11;0.2;-0.34;0.27;0.23;0.43
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.35;P3[13.00,0.00,0.00]=7.06;P8[5.90,10.00,0.00]=8.84;[6.13, 1.19, 0.0];[6.27,1.12,-0.46];19:09:31.526;6.27;1.12;6.13;1.19;5.92;1.40;-0.21;0.21;-0.35;0.28;0.3;0.45
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.32;P3[13.00,0.00,0.00]=7.12;P8[5.90,10.00,0.00]=8.64;[6.08, 1.38, 0.0];[6.25,1.18,-0.43];19:09:31.625;6.25;1.18;6.08;1.38;5.92;1.40;-0.16;0.02;-0.33;0.22;0.16;0.4
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.33;P3[13.00,0.00,0.00]=7.11;P8[5.90,10.00,0.00]=8.83;[6.1, 1.2, 0.0];[6.26,1.16,-0.48];19:09:31.726;6.26;1.16;6.1;1.2;5.92;1.40;-0.18;0.2;-0.34;0.24;0.27;0.42
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.40;P3[13.00,0.00,0.00]=7.13;P8[5.90,10.00,0.00]=8.80;[6.12, 1.24, 0.0];[6.27,1.18,-0.42];19:09:31.825;6.27;1.18;6.12;1.24;5.92;1.40;-0.2;0.16;-0.35;0.22;0.26;0.41
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.42;P3[13.00,0.00,0.00]=7.02;P8[5.90,10.00,0.00]=8.83;[6.19, 1.2, 0.0];[6.27,1.18,-0.44];19:09:31.925;6.27;1.18;6.19;1.2;5.92;1.40;-0.27;0.2;-0.35;0.22;0.34;0.41
P2[8.00,2.40,0.00]=2.05;P1[0.00,0.00,0.00]=6.39;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=8.92;[6.2, 1.11, 0.0];[6.30,1.14,-0.41];19:09:32.026;6.30;1.14;6.2;1.11;5.92;1.40;-0.28;0.29;-0.38;0.26;0.4;0.46
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.31;P3[13.00,0.00,0.00]=7.02;P8[5.90,10.00,0.00]=8.73;[6.13, 1.28, 0.0];[6.27,1.17,-0.38];19:09:32.125;6.27;1.17;6.13;1.28;5.92;1.40;-0.21;0.12;-0.35;0.23;0.24;0.42
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.34;P3[13.00,0.00,0.00]=7.03;P8[5.90,10.00,0.00]=8.80;[6.14, 1.22, 0.0];[6.26,1.18,-0.32];19:09:32.225;6.26;1.18;6.14;1.22;5.92;1.40;-0.22;0.18;-0.34;0.22;0.28;0.4
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.36;P3[13.00,0.00,0.00]=7.02;P8[5.90,10.00,0.00]=8.89;[6.16, 1.13, 0.0];[6.28,1.14,-0.40];19:09:32.326;6.28;1.14;6.16;1.13;5.92;1.40;-0.24;0.27;-0.36;0.26;0.36;0.44
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.32;P3[13.00,0.00,0.00]=7.00;P8[5.90,10.00,0.00]=8.81;[6.15, 1.21, 0.0];[6.28,1.14,-0.45];19:09:32.425;6.28;1.14;6.15;1.21;5.92;1.40;-0.23;0.19;-0.36;0.26;0.3;0.44
P2[8.00,2.40,0.00]=2.06;P1[0.00,0.00,0.00]=6.12;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=8.77;[6.09, 1.22, 0.0];[6.27,1.12,-0.42];19:09:32.526;6.27;1.12;6.09;1.22;5.92;1.40;-0.17;0.18;-0.35;0.28;0.25;0.45
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.17;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.76;[6.1, 1.24, 0.0];[6.26,1.11,-0.50];19:09:32.626;6.26;1.11;6.1;1.24;5.92;1.40;-0.18;0.16;-0.34;0.29;0.24;0.45
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.32;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.83;[6.16, 1.19, 0.0];[6.27,1.10,-0.51];19:09:32.725;6.27;1.10;6.16;1.19;5.92;1.40;-0.24;0.21;-0.35;0.3;0.32;0.46
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.33;P3[13.00,0.00,0.00]=7.06;P8[5.90,10.00,0.00]=8.84;[6.13, 1.18, 0.0];[6.28,1.10,-0.53];19:09:32.825;6.28;1.10;6.13;1.18;5.92;1.40;-0.21;0.22;-0.36;0.3;0.3;0.47
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.37;P3[13.00,0.00,0.00]=7.03;P8[5.90,10.00,0.00]=8.71;[6.16, 1.31, 0.0];[6.27,1.15,-0.49];19:09:32.925;6.27;1.15;6.16;1.31;5.92;1.40;-0.24;0.09;-0.35;0.25;0.26;0.43
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.34;P3[13.00,0.00,0.00]=7.08;P8[5.90,10.00,0.00]=8.83;[6.12, 1.2, 0.0];[6.28,1.14,-0.53];19:09:33.025;6.28;1.14;6.12;1.2;5.92;1.40;-0.2;0.2;-0.36;0.26;0.28;0.44
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.38;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=8.68;[6.17, 1.34, 0.0];[6.26,1.19,-0.51];19:09:33.125;6.26;1.19;6.17;1.34;5.92;1.40;-0.25;0.06;-0.34;0.21;0.26;0.4
P2[8.00,2.40,0.00]=2.10;P1[0.00,0.00,0.00]=6.32;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=8.87;[6.16, 1.15, 0.0];[6.28,1.16,-0.50];19:09:33.225;6.28;1.16;6.16;1.15;5.92;1.40;-0.24;0.25;-0.36;0.24;0.35;0.43
