NodeId;X;Y;Z;TagId;Range;TimeStamp
mobilepub;2.00;8.00;0.00;120F;3.89;1706703103.671081
mobilepub;4.00;4.00;0.00;1127;1.80;1706703103.7709723
mobilepub;0.00;4.00;0.00;C02A;1.93;1706703103.7710786
mobilepub;2.00;8.00;0.00;120F;3.88;1706703103.7711067
mobilepub;4.00;4.00;0.00;1127;1.87;1706703103.87067
mobilepub;0.00;4.00;0.00;C02A;1.95;1706703103.8707724
mobilepub;2.00;8.00;0.00;120F;3.89;1706703103.8708074
mobilepub;4.00;4.00;0.00;1127;1.80;1706703103.97088
mobilepub;0.00;4.00;0.00;C02A;1.90;1706703103.970985
mobilepub;2.00;8.00;0.00;120F;3.90;1706703103.9710097
mobilepub;4.00;4.00;0.00;1127;1.87;1706703104.0709991
mobilepub;0.00;4.00;0.00;C02A;1.93;1706703104.0711038
mobilepub;2.00;8.00;0.00;120F;3.86;1706703104.071142
mobilepub;4.00;4.00;0.00;1127;1.84;1706703104.1709745
mobilepub;0.00;4.00;0.00;C02A;1.90;1706703104.1710696
mobilepub;2.00;8.00;0.00;120F;3.83;1706703104.1710892
mobilepub;4.00;4.00;0.00;1127;1.85;1706703104.2711008
mobilepub;0.00;4.00;0.00;C02A;1.89;1706703104.2712069
mobilepub;2.00;8.00;0.00;120F;3.85;1706703104.2712307
mobilepub;4.00;4.00;0.00;1127;1.82;1706703104.370859
mobilepub;0.00;4.00;0.00;C02A;1.91;1706703104.370957
mobilepub;2.00;8.00;0.00;120F;3.90;1706703104.3709779
mobilepub;4.00;4.00;0.00;1127;1.83;1706703104.4709682
mobilepub;0.00;4.00;0.00;C02A;1.89;1706703104.4710693
mobilepub;2.00;8.00;0.00;120F;3.86;1706703104.4710977
mobilepub;4.00;4.00;0.00;1127;1.82;1706703104.570974
mobilepub;0.00;4.00;0.00;C02A;1.89;1706703104.57107
mobilepub;2.00;8.00;0.00;120F;3.90;1706703104.5710886
mobilepub;4.00;4.00;0.00;1127;1.80;1706703104.7712007
mobilepub;2.00;8.00;0.00;120F;3.91;1706703104.771295
mobilepub;0.00;4.00;0.00;C02A;1.89;1706703104.7713156
mobilepub;4.00;4.00;0.00;1127;1.83;1706703104.8709686
mobilepub;0.00;4.00;0.00;C02A;1.95;1706703104.8710608
mobilepub;2.00;8.00;0.00;120F;3.93;1706703104.8710966
mobilepub;4.00;4.00;0.00;1127;1.77;1706703104.9710238
mobilepub;0.00;4.00;0.00;C02A;1.87;1706703104.971297
mobilepub;2.00;8.00;0.00;120F;3.90;1706703104.9713726
mobilepub;4.00;4.00;0.00;1127;1.80;1706703105.0716884
mobilepub;0.00;4.00;0.00;C02A;1.88;1706703105.0718422
mobilepub;2.00;8.00;0.00;120F;3.93;1706703105.0718708
mobilepub;4.00;4.00;0.00;1127;1.81;1706703105.1709738
mobilepub;0.00;4.00;0.00;C02A;1.94;1706703105.1710694
mobilepub;2.00;8.00;0.00;120F;3.85;1706703105.171096
mobilepub;4.00;4.00;0.00;1127;1.79;1706703105.270968
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703105.2710695
mobilepub;2.00;8.00;0.00;120F;3.85;1706703105.2710958
mobilepub;4.00;4.00;0.00;1127;1.81;1706703105.3709733
mobilepub;0.00;4.00;0.00;C02A;1.90;1706703105.3710747
mobilepub;2.00;8.00;0.00;120F;3.89;1706703105.371101
mobilepub;4.00;4.00;0.00;1127;1.79;1706703105.4709682
mobilepub;0.00;4.00;0.00;C02A;1.93;1706703105.471069
mobilepub;2.00;8.00;0.00;120F;3.92;1706703105.4710953
mobilepub;4.00;4.00;0.00;1127;1.83;1706703105.570973
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703105.571071
mobilepub;2.00;8.00;0.00;120F;3.87;1706703105.5710936
mobilepub;4.00;4.00;0.00;1127;1.74;1706703105.6709957
mobilepub;0.00;4.00;0.00;C02A;1.91;1706703105.6710978
mobilepub;2.00;8.00;0.00;120F;3.89;1706703105.6711195
mobilepub;4.00;4.00;0.00;1127;1.82;1706703105.7708292
mobilepub;0.00;4.00;0.00;C02A;1.85;1706703105.770943
mobilepub;2.00;8.00;0.00;120F;3.92;1706703105.7709727
mobilepub;4.00;4.00;0.00;1127;1.72;1706703105.8709679
mobilepub;0.00;4.00;0.00;C02A;1.89;1706703105.871068
