Anchor/Range	Anchor/Range	Anchor/Range	Anchor/Range	LS_Estimated		Estimated	GTX	GTY	ERRO
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.74	P3[13.00,0.00,0.00]=10.71	P8[5.90,10.00,0.00]=9.28	2,37	1,40	[2,22,1,36,0,40]	2,32	1,40	0,05
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.63	P3[13.00,0.00,0.00]=10.68	P8[5.90,10.00,0.00]=9.11	2,42	1,55	[2,20,1,42,0,14]	2,32	1,40	0,18
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.66	P3[13.00,0.00,0.00]=10.76	P8[5.90,10.00,0.00]=9.10	2,36	1,60	[2,17,1,50,-0,02]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.62	P3[13.00,0.00,0.00]=10.66	P8[5.90,10.00,0.00]=9.29	2,43	1,37	[2,17,1,52,-0,18]	2,32	1,40	0,11
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.64	P8[5.90,10.00,0.00]=9.18	2,44	1,47	[2,19,1,48,-0,10]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.49	P2[8.00,2.40,0.00]=5.69	P3[13.00,0.00,0.00]=10.65	P8[5.90,10.00,0.00]=9.25	2,42	1,41	[2,21,1,44,0,10]	2,32	1,40	0,10
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.67	P8[5.90,10.00,0.00]=9.13	2,42	1,53	[2,21,1,44,0,15]	2,32	1,40	0,16
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.69	P3[13.00,0.00,0.00]=10.65	P8[5.90,10.00,0.00]=9.05	2,44	1,60	[2,20,1,44,0,33]	2,32	1,40	0,23
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.70	P3[13.00,0.00,0.00]=10.68	P8[5.90,10.00,0.00]=9.17	2,40	1,50	[2,21,1,43,0,36]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.63	P8[5.90,10.00,0.00]=9.23	2,44	1,42	[2,22,1,40,0,40]	2,32	1,40	0,12
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.70	P3[13.00,0.00,0.00]=10.64	P8[5.90,10.00,0.00]=9.19	2,43	1,46	[2,22,1,39,0,41]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.39	P2[8.00,2.40,0.00]=5.70	P3[13.00,0.00,0.00]=10.62	P8[5.90,10.00,0.00]=9.15	2,45	1,49	[2,21,1,38,0,50]	2,32	1,40	0,16
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.63	P3[13.00,0.00,0.00]=10.68	P8[5.90,10.00,0.00]=9.07	2,42	1,59	[2,20,1,39,0,55]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.39	P2[8.00,2.40,0.00]=5.65	P3[13.00,0.00,0.00]=10.62	P8[5.90,10.00,0.00]=9.21	2,45	1,43	[2,20,1,36,0,62]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.62	P3[13.00,0.00,0.00]=10.67	P8[5.90,10.00,0.00]=9.18	2,42	1,48	[2,19,1,42,0,37]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.49	P2[8.00,2.40,0.00]=5.69	P3[13.00,0.00,0.00]=10.65	P8[5.90,10.00,0.00]=9.27	2,42	1,39	[2,20,1,39,0,45]	2,32	1,40	0,10
