Anchor/Range	Anchor/Range	Anchor/Range	Anchor/Range	LS_Estimated		Estimated	GTX	GTY	ERRO
P5[13.00,24.00,0.00]=4.08	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.60	P4[11.00,11.00,0.00]=10.06	11,87	20,87	[11,66,20,77,2,17]			
P5[13.00,24.00,0.00]=4.01	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.62	P4[11.00,11.00,0.00]=9.99	11,88	20,81	[11,68,20,77,2,12]			
P5[13.00,24.00,0.00]=3.99	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.00	11,82	20,84	[11,68,20,77,2,08]			
P5[13.00,24.00,0.00]=3.99	P6[6.70,18.03,0.00]=5.64	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=9.97	11,82	20,81	[11,68,20,77,2,04]			
P5[13.00,24.00,0.00]=3.94	P6[6.70,18.03,0.00]=5.64	P7[2.90,24.00,0.00]=9.66	P4[11.00,11.00,0.00]=10.05	11,70	20,77	[11,57,20,80,1,95]			
P5[13.00,24.00,0.00]=4.00	P6[6.70,18.03,0.00]=5.71	P4[11.00,11.00,0.00]=10.06	null	11,43	21,00	[11,50,20,82,1,93]			
P5[13.00,24.00,0.00]=3.94	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.59	P4[11.00,11.00,0.00]=10.07	11,88	20,89	[11,56,20,83,1,94]			
P5[13.00,24.00,0.00]=3.92	P6[6.70,18.03,0.00]=5.64	P7[2.90,24.00,0.00]=9.60	P4[11.00,11.00,0.00]=10.01	11,86	20,84	[11,61,20,82,1,93]			
P5[13.00,24.00,0.00]=3.91	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.61	P4[11.00,11.00,0.00]=10.08	11,88	20,90	[11,64,20,83,1,94]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.59	P4[11.00,11.00,0.00]=10.09	11,87	20,91	[11,67,20,84,1,96]			
P5[13.00,24.00,0.00]=3.97	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.53	P4[11.00,11.00,0.00]=9.99	11,81	20,84	[11,67,20,82,1,95]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.64	P7[2.90,24.00,0.00]=9.60	P4[11.00,11.00,0.00]=10.09	11,87	20,90	[11,69,20,83,1,96]			
P5[13.00,24.00,0.00]=3.87	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.62	P4[11.00,11.00,0.00]=10.07	11,89	20,89	[11,71,20,84,1,95]			
P5[13.00,24.00,0.00]=3.94	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.60	P4[11.00,11.00,0.00]=10.05	11,88	20,87	[11,72,20,84,1,95]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.58	P4[11.00,11.00,0.00]=9.97	11,85	20,81	[11,72,20,82,1,93]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.58	P4[11.00,11.00,0.00]=9.99	11,86	20,83	[11,72,20,81,1,92]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.05	11,82	20,89	[11,71,20,81,1,93]			
P6[6.70,18.03,0.00]=5.72	P4[11.00,11.00,0.00]=10.07	P5[13.00,24.00,0.00]=3.89	P7[2.90,24.00,0.00]=9.58	11,88	20,91	[11,72,20,83,1,92]			
P5[13.00,24.00,0.00]=3.89	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.61	P4[11.00,11.00,0.00]=10.07	11,89	20,90	[11,73,20,83,1,93]			
P5[13.00,24.00,0.00]=3.94	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.01	11,83	20,85	[11,73,20,83,1,92]			
P5[13.00,24.00,0.00]=3.91	P6[6.70,18.03,0.00]=5.72	P7[2.90,24.00,0.00]=9.60	P4[11.00,11.00,0.00]=10.09	11,89	20,91	[11,73,20,84,1,94]			
P5[13.00,24.00,0.00]=3.94	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.59	P4[11.00,11.00,0.00]=10.07	11,87	20,89	[11,73,20,84,1,95]			
P5[13.00,24.00,0.00]=3.86	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.06	11,85	20,90	[11,73,20,84,1,93]			
P5[13.00,24.00,0.00]=3.85	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.17	11,87	20,99	[11,73,20,87,1,94]			
P5[13.00,24.00,0.00]=3.86	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.62	P4[11.00,11.00,0.00]=10.11	11,90	20,93	[11,75,20,88,1,94]			
P5[13.00,24.00,0.00]=3.90	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.60	P4[11.00,11.00,0.00]=10.05	11,89	20,88	[11,75,20,87,1,93]			
P5[13.00,24.00,0.00]=3.96	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.03	11,81	20,87	[11,73,20,85,1,93]			
P5[13.00,24.00,0.00]=4.03	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=10.01	11,83	20,84	[11,71,20,83,1,96]			
P5[13.00,24.00,0.00]=4.00	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.01	11,82	20,85	[11,70,20,82,1,96]			
P5[13.00,24.00,0.00]=4.02	P6[6.70,18.03,0.00]=5.72	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.03	11,83	20,87	[11,69,20,82,1,98]			
P5[13.00,24.00,0.00]=4.05	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=9.97	11,83	20,81	[11,68,20,80,1,98]			
P5[13.00,24.00,0.00]=3.98	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.57	P4[11.00,11.00,0.00]=9.98	11,84	20,82	[11,68,20,79,1,96]			
P5[13.00,24.00,0.00]=3.97	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.13	11,84	20,94	[11,69,20,82,2,00]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.57	P4[11.00,11.00,0.00]=10.11	11,86	20,93	[11,69,20,83,2,00]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.73	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=10.00	11,63	20,76	[11,69,20,82,1,97]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.72	P7[2.90,24.00,0.00]=9.53	P4[11.00,11.00,0.00]=9.93	11,82	20,80	[11,69,20,80,1,92]			
P5[13.00,24.00,0.00]=3.96	P6[6.70,18.03,0.00]=5.72	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=10.03	11,84	20,87	[11,69,20,80,1,93]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.59	P4[11.00,11.00,0.00]=10.05	11,88	20,88	[11,70,20,81,1,94]			
P5[13.00,24.00,0.00]=4.03	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=10.05	11,59	20,78	[11,69,20,81,1,97]			
P5[13.00,24.00,0.00]=3.97	P6[6.70,18.03,0.00]=5.72	P7[2.90,24.00,0.00]=9.58	P4[11.00,11.00,0.00]=9.98	11,86	20,82	[11,70,20,80,1,96]			
P5[13.00,24.00,0.00]=3.90	P6[6.70,18.03,0.00]=5.72	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.06	11,86	20,90	[11,70,20,81,1,95]			
P5[13.00,24.00,0.00]=3.90	P6[6.70,18.03,0.00]=5.63	P7[2.90,24.00,0.00]=9.59	P4[11.00,11.00,0.00]=10.06	11,86	20,88	[11,71,20,82,1,94]			
P5[13.00,24.00,0.00]=3.90	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=10.03	11,83	20,87	[11,71,20,82,1,93]			
P5[13.00,24.00,0.00]=3.92	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.59	P4[11.00,11.00,0.00]=10.08	11,87	20,90	[11,72,20,83,1,94]			
P5[13.00,24.00,0.00]=3.85	P6[6.70,18.03,0.00]=5.72	P7[2.90,24.00,0.00]=9.51	P4[11.00,11.00,0.00]=10.11	11,82	20,96	[11,71,20,85,1,92]			
P5[13.00,24.00,0.00]=3.94	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.51	P4[11.00,11.00,0.00]=10.04	11,80	20,89	[11,70,20,85,1,92]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.50	P4[11.00,11.00,0.00]=10.06	11,79	20,90	[11,69,20,85,1,93]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.50	P4[11.00,11.00,0.00]=10.13	11,81	20,96	[11,68,20,86,1,95]			
P5[13.00,24.00,0.00]=3.90	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.12	11,84	20,94	[11,69,20,87,1,96]			
P5[13.00,24.00,0.00]=3.88	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.17	11,64	20,89	[11,70,20,89,1,98]			
P5[13.00,24.00,0.00]=3.91	P6[6.70,18.03,0.00]=5.73	P7[2.90,24.00,0.00]=9.47	P4[11.00,11.00,0.00]=10.09	11,79	20,95	[11,68,20,89,1,96]			
P5[13.00,24.00,0.00]=3.87	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.08	11,83	20,93	[11,69,20,88,1,94]			
P5[13.00,24.00,0.00]=3.86	P6[6.70,18.03,0.00]=5.72	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.09	11,85	20,93	[11,69,20,88,1,93]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.04	11,81	20,88	[11,69,20,87,1,93]			
P5[13.00,24.00,0.00]=3.88	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.17	11,83	21,00	[11,69,20,89,1,95]			
P5[13.00,24.00,0.00]=3.86	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=10.06	11,84	20,90	[11,70,20,88,1,92]			
P5[13.00,24.00,0.00]=3.85	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.11	11,83	20,94	[11,71,20,89,1,91]			
P5[13.00,24.00,0.00]=3.92	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.53	P4[11.00,11.00,0.00]=10.15	11,83	20,97	[11,70,20,90,1,95]			
P5[13.00,24.00,0.00]=3.91	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.53	P4[11.00,11.00,0.00]=10.15	11,82	20,97	[11,70,20,90,1,97]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=10.15	11,84	20,97	[11,70,20,91,1,99]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.58	P4[11.00,11.00,0.00]=10.10	11,86	20,92	[11,71,20,90,2,00]			
P5[13.00,24.00,0.00]=3.88	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.07	11,84	20,91	[11,71,20,89,1,97]			
P5[13.00,24.00,0.00]=3.92	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.13	11,84	20,96	[11,70,20,89,1,98]			
P5[13.00,24.00,0.00]=3.98	P6[6.70,18.03,0.00]=5.72	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.07	11,82	20,91	[11,69,20,88,1,99]			
P5[13.00,24.00,0.00]=3.88	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.51	P4[11.00,11.00,0.00]=10.03	11,81	20,89	[11,69,20,87,1,95]			
P5[13.00,24.00,0.00]=3.91	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.46	P4[11.00,11.00,0.00]=10.08	11,77	20,93	[11,67,20,87,1,94]			
P5[13.00,24.00,0.00]=3.91	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.57	P4[11.00,11.00,0.00]=10.14	11,85	20,95	[11,69,20,88,1,96]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.13	11,85	20,95	[11,69,20,89,1,98]			
P5[13.00,24.00,0.00]=3.97	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.60	P4[11.00,11.00,0.00]=10.11	11,63	20,82	[11,70,20,88,2,01]			
P5[13.00,24.00,0.00]=3.89	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.59	P4[11.00,11.00,0.00]=10.06	11,86	20,89	[11,71,20,87,1,98]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.57	P4[11.00,11.00,0.00]=10.09	11,85	20,91	[11,71,20,87,1,98]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.57	P4[11.00,11.00,0.00]=10.04	11,86	20,88	[11,72,20,86,1,97]			
P5[13.00,24.00,0.00]=3.92	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.57	P4[11.00,11.00,0.00]=10.09	11,86	20,92	[11,72,20,86,1,97]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.49	P4[11.00,11.00,0.00]=10.10	11,79	20,94	[11,70,20,87,1,97]			
P5[13.00,24.00,0.00]=3.94	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=10.05	11,84	20,89	[11,70,20,86,1,97]			
P5[13.00,24.00,0.00]=3.92	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.05	11,64	20,80	[11,70,20,85,1,96]			
P5[13.00,24.00,0.00]=3.92	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.06	11,82	20,91	[11,70,20,85,1,95]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.13	11,83	20,95	[11,69,20,86,1,97]			
P5[13.00,24.00,0.00]=3.88	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.06	11,86	20,90	[11,70,20,86,1,95]			
P5[13.00,24.00,0.00]=3.91	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.11	11,85	20,94	[11,71,20,87,1,96]			
P5[13.00,24.00,0.00]=3.88	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.47	P4[11.00,11.00,0.00]=10.06	11,78	20,92	[11,69,20,87,1,93]			
P5[13.00,24.00,0.00]=3.94	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.53	P4[11.00,11.00,0.00]=10.03	11,82	20,87	[11,69,20,86,1,93]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.02	11,80	20,87	[11,69,20,85,1,92]			
P5[13.00,24.00,0.00]=3.91	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.12	11,83	20,95	[11,69,20,86,1,94]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.05	11,80	20,89	[11,68,20,85,1,93]			
P5[13.00,24.00,0.00]=3.99	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.53	P4[11.00,11.00,0.00]=10.06	11,81	20,89	[11,68,20,85,1,96]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.59	P4[11.00,11.00,0.00]=10.08	11,86	20,90	[11,69,20,85,1,97]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.57	P4[11.00,11.00,0.00]=10.00	11,85	20,84	[11,70,20,84,1,95]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.58	P4[11.00,11.00,0.00]=10.03	11,86	20,86	[11,70,20,83,1,95]			
P5[13.00,24.00,0.00]=3.90	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=10.12	11,85	20,95	[11,71,20,85,1,96]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.57	P4[11.00,11.00,0.00]=10.11	11,86	20,93	[11,71,20,85,1,98]			
P5[13.00,24.00,0.00]=3.97	P6[6.70,18.03,0.00]=5.62	P7[2.90,24.00,0.00]=9.59	P4[11.00,11.00,0.00]=10.07	11,85	20,88	[11,71,20,85,1,99]			
P5[13.00,24.00,0.00]=3.97	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=10.06	11,84	20,89	[11,70,20,85,1,99]			
P5[13.00,24.00,0.00]=3.94	P6[6.70,18.03,0.00]=5.72	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.15	11,83	20,98	[11,70,20,86,2,01]			
P5[13.00,24.00,0.00]=3.98	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.11	11,83	20,93	[11,69,20,87,2,03]			
P5[13.00,24.00,0.00]=4.01	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.53	P4[11.00,11.00,0.00]=10.20	11,55	20,89	[11,68,20,88,2,07]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.57	P4[11.00,11.00,0.00]=10.07	11,85	20,90	[11,69,20,87,2,05]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.64	P7[2.90,24.00,0.00]=9.48	P4[11.00,11.00,0.00]=10.05	11,77	20,90	[11,67,20,87,2,02]			
P5[13.00,24.00,0.00]=3.94	P6[6.70,18.03,0.00]=5.70	P4[11.00,11.00,0.00]=10.05	null	11,43	21,00	[11,58,20,87,1,95]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.12	11,83	20,95	[11,61,20,88,1,97]			
P5[13.00,24.00,0.00]=3.92	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.53	P4[11.00,11.00,0.00]=10.07	11,83	20,91	[11,63,20,87,1,96]			
P5[13.00,24.00,0.00]=3.96	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.06	11,81	20,90	[11,64,20,86,1,97]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.08	11,85	20,91	[11,66,20,86,1,98]			
P5[13.00,24.00,0.00]=3.89	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.09	11,83	20,92	[11,67,20,86,1,96]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.09	11,82	20,93	[11,67,20,87,1,97]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=10.04	11,84	20,88	[11,68,20,86,1,96]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.60	P4[11.00,11.00,0.00]=10.05	11,88	20,87	[11,69,20,85,1,96]			
P5[13.00,24.00,0.00]=3.91	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.13	11,86	20,95	[11,70,20,86,1,97]			
P5[13.00,24.00,0.00]=3.92	P6[6.70,18.03,0.00]=5.72	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.07	11,86	20,91	[11,70,20,86,1,96]			
P5[13.00,24.00,0.00]=3.88	P6[6.70,18.03,0.00]=5.64	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.13	11,81	20,96	[11,70,20,87,1,96]			
P5[13.00,24.00,0.00]=3.91	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.53	P4[11.00,11.00,0.00]=10.04	11,82	20,89	[11,70,20,86,1,94]			
P5[13.00,24.00,0.00]=3.93	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.58	P4[11.00,11.00,0.00]=10.14	11,87	20,95	[11,71,20,87,1,97]			
P5[13.00,24.00,0.00]=3.94	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.59	P4[11.00,11.00,0.00]=10.11	11,88	20,93	[11,71,20,87,1,99]			
P5[13.00,24.00,0.00]=3.90	P6[6.70,18.03,0.00]=5.72	P7[2.90,24.00,0.00]=9.58	P4[11.00,11.00,0.00]=10.09	11,88	20,92	[11,72,20,87,1,98]			
P5[13.00,24.00,0.00]=3.92	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.08	11,84	20,91	[11,72,20,87,1,98]			
P5[13.00,24.00,0.00]=3.89	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.53	P4[11.00,11.00,0.00]=10.03	11,83	20,88	[11,71,20,86,1,95]			
P5[13.00,24.00,0.00]=3.97	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.54	P4[11.00,11.00,0.00]=10.07	11,84	20,91	[11,70,20,86,1,96]			
P5[13.00,24.00,0.00]=3.91	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.08	11,82	20,92	[11,70,20,86,1,96]			
P5[13.00,24.00,0.00]=3.94	P6[6.70,18.03,0.00]=5.72	P7[2.90,24.00,0.00]=9.57	P4[11.00,11.00,0.00]=10.02	11,86	20,86	[11,70,20,85,1,95]			
P5[13.00,24.00,0.00]=3.91	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.53	P4[11.00,11.00,0.00]=10.03	11,83	20,88	[11,70,20,84,1,93]			
P5[13.00,24.00,0.00]=4.00	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.57	P4[11.00,11.00,0.00]=10.05	11,61	20,77	[11,70,20,84,1,96]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.58	P4[11.00,11.00,0.00]=10.05	11,85	20,87	[11,70,20,83,1,96]			
P5[13.00,24.00,0.00]=3.95	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.57	P4[11.00,11.00,0.00]=10.08	11,85	20,90	[11,70,20,84,1,97]			
P5[13.00,24.00,0.00]=3.99	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.01	11,84	20,85	[11,70,20,83,1,97]			
P5[13.00,24.00,0.00]=3.98	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.53	P4[11.00,11.00,0.00]=10.00	11,81	20,84	[11,69,20,82,1,96]			
P5[13.00,24.00,0.00]=3.94	P7[2.90,24.00,0.00]=9.51	P4[11.00,11.00,0.00]=10.09	null	11,89	20,97	[11,68,20,83,1,97]			
P5[13.00,24.00,0.00]=3.96	P6[6.70,18.03,0.00]=5.67	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=10.01	11,83	20,85	[11,68,20,82,1,96]			
P5[13.00,24.00,0.00]=3.97	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.47	P4[11.00,11.00,0.00]=10.07	11,77	20,91	[11,67,20,83,1,97]			
P5[13.00,24.00,0.00]=3.99	P6[6.70,18.03,0.00]=5.70	P7[2.90,24.00,0.00]=9.57	P4[11.00,11.00,0.00]=10.08	11,86	20,90	[11,67,20,83,1,99]			
P5[13.00,24.00,0.00]=3.96	P6[6.70,18.03,0.00]=5.68	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.05	11,81	20,89	[11,67,20,83,1,98]			
P5[13.00,24.00,0.00]=3.98	P6[6.70,18.03,0.00]=5.71	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.01	11,85	20,85	[11,68,20,82,1,98]			
P5[13.00,24.00,0.00]=3.96	P6[6.70,18.03,0.00]=5.66	P7[2.90,24.00,0.00]=9.55	P4[11.00,11.00,0.00]=10.00	11,83	20,84	[11,68,20,81,1,96]			
P5[13.00,24.00,0.00]=3.97	P6[6.70,18.03,0.00]=5.63	P7[2.90,24.00,0.00]=9.52	P4[11.00,11.00,0.00]=10.00	11,79	20,84	[11,68,20,81,1,95]			
P5[13.00,24.00,0.00]=3.97	P6[6.70,18.03,0.00]=5.65	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=9.99	11,83	20,83	[11,68,20,80,1,94]			
P5[13.00,24.00,0.00]=3.99	P6[6.70,18.03,0.00]=5.69	P7[2.90,24.00,0.00]=9.56	P4[11.00,11.00,0.00]=10.05	11,84	20,88	[11,68,20,81,1,96]			
