Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.84;null;[1.94,9.98,-0.52];19:33:15.910
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=10.02;P7[2.90,24.00,0.00]=13.87;null;[1.95,9.98,-0.62];19:33:16.010
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=10.00;P7[2.90,24.00,0.00]=13.84;null;[1.94,9.99,-0.59];19:33:16.110
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=10.01;P7[2.90,24.00,0.00]=13.87;null;[1.95,9.99,-0.65];19:33:16.209
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=10.01;P7[2.90,24.00,0.00]=13.85;null;[1.94,9.99,-0.65];19:33:16.310
P8[5.90,10.00,0.00]=3.81;P1[0.00,0.00,0.00]=10.00;P7[2.90,24.00,0.00]=13.87;null;[1.95,9.99,-0.68];19:33:16.410
P8[5.90,10.00,0.00]=3.85;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.93;null;[1.96,9.98,-0.77];19:33:16.510
P8[5.90,10.00,0.00]=3.86;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.92;null;[1.96,9.97,-0.80];19:33:16.610
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=10.01;P7[2.90,24.00,0.00]=13.88;null;[1.96,9.97,-0.83];19:33:16.710
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=10.00;P7[2.90,24.00,0.00]=13.92;null;[1.97,9.96,-0.88];19:33:16.810
P8[5.90,10.00,0.00]=3.84;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.90;null;[1.97,9.96,-0.87];19:33:16.910
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=9.94;P7[2.90,24.00,0.00]=13.93;null;[1.96,9.95,-0.84];19:33:17.010
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=10.02;P7[2.90,24.00,0.00]=13.84;null;[1.96,9.97,-0.80];19:33:17.110
