Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated
P5[13.00,24.00,0.00]=3.75;P9[13.00,16.50,0.00]=4.87;P6[6.70,18.03,0.00]=5.56;P7[2.90,24.00,0.00]=9.34;[11.61, 20.82, 0.0]
P5[13.00,24.00,0.00]=3.73;P9[13.00,16.50,0.00]=4.89;P6[6.70,18.03,0.00]=5.59;P7[2.90,24.00,0.00]=9.41;[11.67, 20.82, 0.0]
P5[13.00,24.00,0.00]=3.74;P9[13.00,16.50,0.00]=4.94;P6[6.70,18.03,0.00]=5.57;P7[2.90,24.00,0.00]=9.45;[11.69, 20.82, 0.0]
P5[13.00,24.00,0.00]=3.72;P9[13.00,16.50,0.00]=4.91;P6[6.70,18.03,0.00]=5.58;P7[2.90,24.00,0.00]=9.47;[11.71, 20.81, 0.0]
P5[13.00,24.00,0.00]=3.76;P9[13.00,16.50,0.00]=4.95;P6[6.70,18.03,0.00]=5.55;P7[2.90,24.00,0.00]=9.35;[11.61, 20.85, 0.0]
P5[13.00,24.00,0.00]=3.78;P9[13.00,16.50,0.00]=4.93;P6[6.70,18.03,0.00]=5.56;P7[2.90,24.00,0.00]=9.35;[11.61, 20.84, 0.0]
P5[13.00,24.00,0.00]=3.75;P9[13.00,16.50,0.00]=4.89;P6[6.70,18.03,0.00]=5.57;P7[2.90,24.00,0.00]=9.46;[11.7, 20.79, 0.0]
P5[13.00,24.00,0.00]=3.74;P9[13.00,16.50,0.00]=4.91;P6[6.70,18.03,0.00]=5.56;P7[2.90,24.00,0.00]=9.40;[11.65, 20.82, 0.0]
P5[13.00,24.00,0.00]=3.79;P9[13.00,16.50,0.00]=4.93;P6[6.70,18.03,0.00]=5.56;P7[2.90,24.00,0.00]=9.36;[11.62, 20.83, 0.0]
P5[13.00,24.00,0.00]=3.81;P9[13.00,16.50,0.00]=4.90;P6[6.70,18.03,0.00]=5.59;P7[2.90,24.00,0.00]=9.37;[11.63, 20.82, 0.0]
P5[13.00,24.00,0.00]=3.75;P9[13.00,16.50,0.00]=4.88;P6[6.70,18.03,0.00]=5.55;P7[2.90,24.00,0.00]=9.42;[11.66, 20.79, 0.0]
P5[13.00,24.00,0.00]=3.77;P9[13.00,16.50,0.00]=4.88;P6[6.70,18.03,0.00]=5.59;P7[2.90,24.00,0.00]=9.44;[11.69, 20.79, 0.0]
P5[13.00,24.00,0.00]=3.75;P9[13.00,16.50,0.00]=4.92;P6[6.70,18.03,0.00]=5.61;P7[2.90,24.00,0.00]=9.39;[11.66, 20.85, 0.0]
P5[13.00,24.00,0.00]=3.80;P9[13.00,16.50,0.00]=4.88;P6[6.70,18.03,0.00]=5.62;P7[2.90,24.00,0.00]=9.28;[11.58, 20.87, 0.0]
P5[13.00,24.00,0.00]=3.78;P9[13.00,16.50,0.00]=4.91;P6[6.70,18.03,0.00]=5.54;P7[2.90,24.00,0.00]=9.40;[11.64, 20.8, 0.0]
P5[13.00,24.00,0.00]=3.79;P9[13.00,16.50,0.00]=4.91;P6[6.70,18.03,0.00]=5.54;P7[2.90,24.00,0.00]=9.38;[11.62, 20.8, 0.0]
P5[13.00,24.00,0.00]=3.76;P9[13.00,16.50,0.00]=4.91;P6[6.70,18.03,0.00]=5.60;P7[2.90,24.00,0.00]=9.39;[11.66, 20.84, 0.0]
P5[13.00,24.00,0.00]=3.77;P9[13.00,16.50,0.00]=4.88;P6[6.70,18.03,0.00]=5.58;P7[2.90,24.00,0.00]=9.41;[11.66, 20.8, 0.0]
P5[13.00,24.00,0.00]=3.76;P9[13.00,16.50,0.00]=4.89;P6[6.70,18.03,0.00]=5.51;P7[2.90,24.00,0.00]=9.36;[11.6, 20.8, 0.0]
P5[13.00,24.00,0.00]=3.79;P9[13.00,16.50,0.00]=4.92;P6[6.70,18.03,0.00]=5.55;P7[2.90,24.00,0.00]=9.41;[11.65, 20.8, 0.0]
P5[13.00,24.00,0.00]=3.79;P9[13.00,16.50,0.00]=4.90;P6[6.70,18.03,0.00]=5.63;P7[2.90,24.00,0.00]=9.39;[11.66, 20.84, 0.0]
P5[13.00,24.00,0.00]=3.79;P9[13.00,16.50,0.00]=4.90;P6[6.70,18.03,0.00]=5.60;P7[2.90,24.00,0.00]=9.36;[11.63, 20.84, 0.0]
P5[13.00,24.00,0.00]=3.81;P9[13.00,16.50,0.00]=4.91;P6[6.70,18.03,0.00]=5.50;P7[2.90,24.00,0.00]=9.34;[11.58, 20.79, 0.0]
P5[13.00,24.00,0.00]=3.77;P9[13.00,16.50,0.00]=4.92;P6[6.70,18.03,0.00]=5.53;P7[2.90,24.00,0.00]=9.39;[11.63, 20.81, 0.0]
P5[13.00,24.00,0.00]=3.79;P9[13.00,16.50,0.00]=4.95;P6[6.70,18.03,0.00]=5.56;P7[2.90,24.00,0.00]=9.40;[11.65, 20.82, 0.0]
P5[13.00,24.00,0.00]=3.79;P9[13.00,16.50,0.00]=4.93;P6[6.70,18.03,0.00]=5.56;P7[2.90,24.00,0.00]=9.45;[11.68, 20.79, 0.0]
P5[13.00,24.00,0.00]=3.77;P9[13.00,16.50,0.00]=4.92;P6[6.70,18.03,0.00]=5.58;P7[2.90,24.00,0.00]=9.41;[11.66, 20.82, 0.0]
P5[13.00,24.00,0.00]=3.78;P9[13.00,16.50,0.00]=4.89;P6[6.70,18.03,0.00]=5.51;P7[2.90,24.00,0.00]=9.34;[11.59, 20.8, 0.0]
P5[13.00,24.00,0.00]=3.72;P9[13.00,16.50,0.00]=4.89;P6[6.70,18.03,0.00]=5.56;P7[2.90,24.00,0.00]=9.42;[11.67, 20.81, 0.0]
P5[13.00,24.00,0.00]=3.78;P9[13.00,16.50,0.00]=4.91;P6[6.70,18.03,0.00]=5.59;P7[2.90,24.00,0.00]=9.38;[11.64, 20.83, 0.0]
P5[13.00,24.00,0.00]=3.74;P9[13.00,16.50,0.00]=4.91;P6[6.70,18.03,0.00]=5.59;P7[2.90,24.00,0.00]=9.34;[11.62, 20.86, 0.0]
P5[13.00,24.00,0.00]=3.76;P9[13.00,16.50,0.00]=4.90;P6[6.70,18.03,0.00]=5.53;P7[2.90,24.00,0.00]=9.39;[11.63, 20.8, 0.0]
P5[13.00,24.00,0.00]=3.77;P9[13.00,16.50,0.00]=4.88;P6[6.70,18.03,0.00]=5.52;P7[2.90,24.00,0.00]=9.33;[11.58, 20.81, 0.0]
P5[13.00,24.00,0.00]=3.79;P9[13.00,16.50,0.00]=4.94;P6[6.70,18.03,0.00]=5.56;P7[2.90,24.00,0.00]=9.31;[11.58, 20.86, 0.0]
P5[13.00,24.00,0.00]=3.79;P9[13.00,16.50,0.00]=4.91;P6[6.70,18.03,0.00]=5.51;P7[2.90,24.00,0.00]=9.35;[11.59, 20.8, 0.0]
P5[13.00,24.00,0.00]=3.74;P9[13.00,16.50,0.00]=4.88;P6[6.70,18.03,0.00]=5.51;P7[2.90,24.00,0.00]=9.32;[11.57, 20.81, 0.0]
P5[13.00,24.00,0.00]=3.76;P9[13.00,16.50,0.00]=4.93;P6[6.70,18.03,0.00]=5.57;P7[2.90,24.00,0.00]=9.37;[11.63, 20.84, 0.0]
P5[13.00,24.00,0.00]=3.77;P9[13.00,16.50,0.00]=4.91;P6[6.70,18.03,0.00]=5.53;P7[2.90,24.00,0.00]=9.44;[11.67, 20.78, 0.0]
P5[13.00,24.00,0.00]=3.75;P9[13.00,16.50,0.00]=4.95;P6[6.70,18.03,0.00]=5.57;P7[2.90,24.00,0.00]=9.51;[11.74, 20.79, 0.0]
P5[13.00,24.00,0.00]=3.75;P9[13.00,16.50,0.00]=4.89;P6[6.70,18.03,0.00]=5.62;P7[2.90,24.00,0.00]=9.41;[11.68, 20.83, 0.0]
P5[13.00,24.00,0.00]=3.77;P9[13.00,16.50,0.00]=4.92;P6[6.70,18.03,0.00]=5.59;P7[2.90,24.00,0.00]=9.45;[11.7, 20.81, 0.0]
P5[13.00,24.00,0.00]=3.85;P9[13.00,16.50,0.00]=5.09;P6[6.70,18.03,0.00]=5.52;P7[2.90,24.00,0.00]=9.41;[11.64, 20.85, 0.0]
P5[13.00,24.00,0.00]=3.85;P9[13.00,16.50,0.00]=5.12;P6[6.70,18.03,0.00]=5.45;P7[2.90,24.00,0.00]=9.31;[11.54, 20.88, 0.0]
P5[13.00,24.00,0.00]=3.87;P9[13.00,16.50,0.00]=5.16;P6[6.70,18.03,0.00]=5.42;P7[2.90,24.00,0.00]=9.26;[11.49, 20.9, 0.0]
P5[13.00,24.00,0.00]=3.94;P9[13.00,16.50,0.00]=5.06;P6[6.70,18.03,0.00]=5.37;P7[2.90,24.00,0.00]=9.28;[11.48, 20.79, 0.0]
P5[13.00,24.00,0.00]=3.98;P9[13.00,16.50,0.00]=5.03;P6[6.70,18.03,0.00]=5.35;P7[2.90,24.00,0.00]=9.22;[11.42, 20.78, 0.0]
P5[13.00,24.00,0.00]=3.95;P9[13.00,16.50,0.00]=5.06;P6[6.70,18.03,0.00]=5.47;P7[2.90,24.00,0.00]=9.25;[11.49, 20.85, 0.0]
P5[13.00,24.00,0.00]=3.91;P9[13.00,16.50,0.00]=5.01;P6[6.70,18.03,0.00]=5.51;P7[2.90,24.00,0.00]=9.11;[11.4, 20.91, 0.0]
P5[13.00,24.00,0.00]=3.92;P9[13.00,16.50,0.00]=5.00;P6[6.70,18.03,0.00]=5.17;P7[2.90,24.00,0.00]=9.01;[11.21, 20.78, 0.0]
P5[13.00,24.00,0.00]=4.11;P9[13.00,16.50,0.00]=4.91;P6[6.70,18.03,0.00]=5.03;P7[2.90,24.00,0.00]=8.89;[11.05, 20.66, 0.0]
P5[13.00,24.00,0.00]=4.22;P9[13.00,16.50,0.00]=4.97;P6[6.70,18.03,0.00]=4.82;P7[2.90,24.00,0.00]=8.86;[10.94, 20.56, 0.0]
P5[13.00,24.00,0.00]=4.01;P9[13.00,16.50,0.00]=5.00;P6[6.70,18.03,0.00]=4.73;P7[2.90,24.00,0.00]=8.68;[10.82, 20.69, 0.0]
P5[13.00,24.00,0.00]=4.33;P9[13.00,16.50,0.00]=5.07;P6[6.70,18.03,0.00]=4.54;P7[2.90,24.00,0.00]=8.49;[10.56, 20.59, 0.0]
P5[13.00,24.00,0.00]=4.45;P6[6.70,18.03,0.00]=4.39;P9[13.00,16.50,0.00]=5.13;P7[2.90,24.00,0.00]=8.38;[10.41, 20.55, 0.0]
P5[13.00,24.00,0.00]=4.41;P6[6.70,18.03,0.00]=4.06;P9[13.00,16.50,0.00]=5.17;P7[2.90,24.00,0.00]=8.23;[10.23, 20.53, 0.0]
P5[13.00,24.00,0.00]=4.42;P6[6.70,18.03,0.00]=4.22;P9[13.00,16.50,0.00]=5.31;P7[2.90,24.00,0.00]=8.15;[10.2, 20.67, 0.0]
P5[13.00,24.00,0.00]=4.49;P6[6.70,18.03,0.00]=3.96;P9[13.00,16.50,0.00]=5.34;P7[2.90,24.00,0.00]=7.95;[9.98, 20.63, 0.0]
P5[13.00,24.00,0.00]=4.56;P6[6.70,18.03,0.00]=3.89;P9[13.00,16.50,0.00]=5.43;P7[2.90,24.00,0.00]=7.87;[9.88, 20.65, 0.0]
P6[6.70,18.03,0.00]=3.84;P5[13.00,24.00,0.00]=4.66;P9[13.00,16.50,0.00]=5.45;P7[2.90,24.00,0.00]=7.74;[9.76, 20.64, 0.0]
P6[6.70,18.03,0.00]=3.73;P5[13.00,24.00,0.00]=4.62;P9[13.00,16.50,0.00]=5.53;P7[2.90,24.00,0.00]=7.64;[9.67, 20.69, 0.0]
P6[6.70,18.03,0.00]=3.62;P5[13.00,24.00,0.00]=4.67;P9[13.00,16.50,0.00]=5.64;P7[2.90,24.00,0.00]=7.55;[9.57, 20.72, 0.0]
P6[6.70,18.03,0.00]=3.56;P5[13.00,24.00,0.00]=4.74;P9[13.00,16.50,0.00]=5.75;P7[2.90,24.00,0.00]=7.43;[9.44, 20.75, -0.55]
P6[6.70,18.03,0.00]=3.58;P5[13.00,24.00,0.00]=4.87;P9[13.00,16.50,0.00]=5.90;P7[2.90,24.00,0.00]=7.37;[9.34, 20.79, 0.0]
P6[6.70,18.03,0.00]=3.43;P5[13.00,24.00,0.00]=4.89;P9[13.00,16.50,0.00]=5.93;P7[2.90,24.00,0.00]=7.34;[9.28, 20.75, -0.88]
P6[6.70,18.03,0.00]=3.48;P5[13.00,24.00,0.00]=5.00;P9[13.00,16.50,0.00]=5.93;P7[2.90,24.00,0.00]=7.19;[9.17, 20.77, 0.0]
P6[6.70,18.03,0.00]=3.30;P5[13.00,24.00,0.00]=5.06;P9[13.00,16.50,0.00]=6.04;P7[2.90,24.00,0.00]=7.05;[9.02, 20.78, 0.0]
P6[6.70,18.03,0.00]=3.26;P5[13.00,24.00,0.00]=5.14;P9[13.00,16.50,0.00]=6.08;P7[2.90,24.00,0.00]=7.00;[8.95, 20.76, 0.0]
P6[6.70,18.03,0.00]=3.11;P5[13.00,24.00,0.00]=5.11;P9[13.00,16.50,0.00]=6.16;P7[2.90,24.00,0.00]=6.96;[8.9, 20.79, 0.0]
P6[6.70,18.03,0.00]=3.03;P5[13.00,24.00,0.00]=5.13;P9[13.00,16.50,0.00]=6.20;P7[2.90,24.00,0.00]=6.85;[8.82, 20.82, 0.0]
P6[6.70,18.03,0.00]=3.05;P5[13.00,24.00,0.00]=5.14;P9[13.00,16.50,0.00]=6.28;P7[2.90,24.00,0.00]=6.81;[8.78, 20.87, 0.0]
P6[6.70,18.03,0.00]=3.05;P5[13.00,24.00,0.00]=5.39;P9[13.00,16.50,0.00]=6.23;P7[2.90,24.00,0.00]=6.70;[8.63, 20.74, 0.0]
P6[6.70,18.03,0.00]=2.92;P5[13.00,24.00,0.00]=5.56;P9[13.00,16.50,0.00]=6.40;P7[2.90,24.00,0.00]=6.67;[8.49, 20.71, -0.89]
P6[6.70,18.03,0.00]=2.90;P5[13.00,24.00,0.00]=5.62;P9[13.00,16.50,0.00]=6.44;P7[2.90,24.00,0.00]=6.68;[8.44, 20.68, 0.0]
P6[6.70,18.03,0.00]=2.82;P5[13.00,24.00,0.00]=5.69;P9[13.00,16.50,0.00]=6.55;P7[2.90,24.00,0.00]=6.56;[8.31, 20.71, 0.0]
P6[6.70,18.03,0.00]=2.76;P5[13.00,24.00,0.00]=5.75;P9[13.00,16.50,0.00]=6.55;P7[2.90,24.00,0.00]=6.50;[8.25, 20.68, 0.0]
P6[6.70,18.03,0.00]=2.75;P5[13.00,24.00,0.00]=5.79;P9[13.00,16.50,0.00]=6.46;P7[2.90,24.00,0.00]=6.42;[8.23, 20.64, 0.0]
P6[6.70,18.03,0.00]=2.79;P5[13.00,24.00,0.00]=5.83;P9[13.00,16.50,0.00]=6.49;P7[2.90,24.00,0.00]=6.44;[8.21, 20.63, 0.0]
P6[6.70,18.03,0.00]=2.72;P5[13.00,24.00,0.00]=5.81;P9[13.00,16.50,0.00]=6.58;P7[2.90,24.00,0.00]=6.39;[8.16, 20.69, 0.0]
P6[6.70,18.03,0.00]=2.68;P5[13.00,24.00,0.00]=5.87;P9[13.00,16.50,0.00]=6.54;P7[2.90,24.00,0.00]=6.42;[8.15, 20.61, 0.0]
P6[6.70,18.03,0.00]=2.65;P5[13.00,24.00,0.00]=5.88;P9[13.00,16.50,0.00]=6.59;P7[2.90,24.00,0.00]=6.40;[8.12, 20.63, 0.0]
P6[6.70,18.03,0.00]=2.63;P5[13.00,24.00,0.00]=5.92;P9[13.00,16.50,0.00]=6.57;P7[2.90,24.00,0.00]=6.28;[8.07, 20.63, -0.45]
P6[6.70,18.03,0.00]=2.65;P5[13.00,24.00,0.00]=5.91;P9[13.00,16.50,0.00]=6.67;P7[2.90,24.00,0.00]=6.22;[8.02, 20.71, 0.0]
P6[6.70,18.03,0.00]=2.64;P5[13.00,24.00,0.00]=5.96;P9[13.00,16.50,0.00]=6.69;P7[2.90,24.00,0.00]=6.15;[7.96, 20.71, 0.0]
P6[6.70,18.03,0.00]=2.61;P5[13.00,24.00,0.00]=6.03;P9[13.00,16.50,0.00]=6.68;P7[2.90,24.00,0.00]=6.25;[7.97, 20.63, -0.78]
P6[6.70,18.03,0.00]=2.65;P5[13.00,24.00,0.00]=5.99;P9[13.00,16.50,0.00]=6.63;P7[2.90,24.00,0.00]=6.07;[7.94, 20.69, 0.0]
P6[6.70,18.03,0.00]=2.69;P5[13.00,24.00,0.00]=6.05;P9[13.00,16.50,0.00]=6.74;P7[2.90,24.00,0.00]=6.07;[7.87, 20.71, 0.0]
P6[6.70,18.03,0.00]=2.66;P5[13.00,24.00,0.00]=6.03;P9[13.00,16.50,0.00]=6.70;P7[2.90,24.00,0.00]=6.11;[7.91, 20.68, 0.0]
P6[6.70,18.03,0.00]=2.66;P5[13.00,24.00,0.00]=6.02;P9[13.00,16.50,0.00]=6.77;P7[2.90,24.00,0.00]=6.11;[7.89, 20.72, 0.0]
P6[6.70,18.03,0.00]=2.69;P5[13.00,24.00,0.00]=6.02;P7[2.90,24.00,0.00]=6.20;P9[13.00,16.50,0.00]=6.69;[7.95, 20.66, 0.0]
P6[6.70,18.03,0.00]=2.70;P5[13.00,24.00,0.00]=6.00;P7[2.90,24.00,0.00]=6.06;P9[13.00,16.50,0.00]=6.69;[7.91, 20.72, -0.0]
P6[6.70,18.03,0.00]=2.68;P5[13.00,24.00,0.00]=6.00;P7[2.90,24.00,0.00]=6.24;P9[13.00,16.50,0.00]=6.76;[7.95, 20.7, 0.0]
P6[6.70,18.03,0.00]=2.69;P5[13.00,24.00,0.00]=6.01;P7[2.90,24.00,0.00]=6.24;P9[13.00,16.50,0.00]=6.75;[7.95, 20.69, 0.0]
P6[6.70,18.03,0.00]=2.64;P5[13.00,24.00,0.00]=5.94;P7[2.90,24.00,0.00]=6.27;P9[13.00,16.50,0.00]=6.76;[7.99, 20.72, 0.0]
P6[6.70,18.03,0.00]=2.62;P5[13.00,24.00,0.00]=5.97;P9[13.00,16.50,0.00]=6.78;P7[2.90,24.00,0.00]=6.16;[7.93, 20.74, 0.0]
P6[6.70,18.03,0.00]=2.61;P5[13.00,24.00,0.00]=5.97;P9[13.00,16.50,0.00]=6.80;P7[2.90,24.00,0.00]=6.09;[7.9, 20.77, -0.43]
P6[6.70,18.03,0.00]=2.62;P5[13.00,24.00,0.00]=6.02;P9[13.00,16.50,0.00]=6.84;P7[2.90,24.00,0.00]=6.16;[7.88, 20.74, 0.0]
P6[6.70,18.03,0.00]=2.64;P5[13.00,24.00,0.00]=6.01;P9[13.00,16.50,0.00]=6.76;P7[2.90,24.00,0.00]=6.25;[7.94, 20.68, 0.0]
P6[6.70,18.03,0.00]=2.63;P5[13.00,24.00,0.00]=6.02;P9[13.00,16.50,0.00]=6.73;P7[2.90,24.00,0.00]=6.19;[7.94, 20.68, -0.72]
P6[6.70,18.03,0.00]=2.62;P5[13.00,24.00,0.00]=5.98;P9[13.00,16.50,0.00]=6.76;P7[2.90,24.00,0.00]=6.24;[7.97, 20.7, -0.84]
P6[6.70,18.03,0.00]=2.66;P5[13.00,24.00,0.00]=5.97;P9[13.00,16.50,0.00]=6.81;P7[2.90,24.00,0.00]=6.24;[7.95, 20.74, 0.0]
P6[6.70,18.03,0.00]=2.63;P5[13.00,24.00,0.00]=6.01;P9[13.00,16.50,0.00]=6.69;P7[2.90,24.00,0.00]=6.24;[7.98, 20.65, -0.76]
P6[6.70,18.03,0.00]=2.61;P5[13.00,24.00,0.00]=6.01;P9[13.00,16.50,0.00]=6.76;P7[2.90,24.00,0.00]=6.20;[7.92, 20.69, 0.0]
P6[6.70,18.03,0.00]=2.63;P5[13.00,24.00,0.00]=5.96;P9[13.00,16.50,0.00]=6.74;P7[2.90,24.00,0.00]=6.16;[7.95, 20.73, -0.55]
P6[6.70,18.03,0.00]=2.61;P5[13.00,24.00,0.00]=5.96;P9[13.00,16.50,0.00]=6.81;P7[2.90,24.00,0.00]=6.21;[7.94, 20.74, 0.0]
P6[6.70,18.03,0.00]=2.65;P5[13.00,24.00,0.00]=5.99;P9[13.00,16.50,0.00]=6.84;P7[2.90,24.00,0.00]=6.15;[7.91, 20.77, -0.8]
P6[6.70,18.03,0.00]=2.61;P5[13.00,24.00,0.00]=6.00;P9[13.00,16.50,0.00]=6.81;P7[2.90,24.00,0.00]=6.26;[7.93, 20.7, 0.0]
P6[6.70,18.03,0.00]=2.69;P5[13.00,24.00,0.00]=5.99;P9[13.00,16.50,0.00]=6.74;P7[2.90,24.00,0.00]=6.21;[7.97, 20.71, -0.81]
P6[6.70,18.03,0.00]=2.68;P5[13.00,24.00,0.00]=6.02;P9[13.00,16.50,0.00]=6.83;P7[2.90,24.00,0.00]=6.30;[7.94, 20.7, 0.0]
P6[6.70,18.03,0.00]=2.69;P5[13.00,24.00,0.00]=5.98;P9[13.00,16.50,0.00]=6.82;P7[2.90,24.00,0.00]=6.25;[7.97, 20.74, -1.01]
P6[6.70,18.03,0.00]=2.68;P5[13.00,24.00,0.00]=5.96;P9[13.00,16.50,0.00]=6.92;P7[2.90,24.00,0.00]=6.22;[7.91, 20.81, 0.0]
P6[6.70,18.03,0.00]=2.74;P5[13.00,24.00,0.00]=5.94;P9[13.00,16.50,0.00]=6.78;P7[2.90,24.00,0.00]=6.14;[7.95, 20.79, 0.0]
P6[6.70,18.03,0.00]=2.73;P5[13.00,24.00,0.00]=5.94;P9[13.00,16.50,0.00]=6.80;P7[2.90,24.00,0.00]=6.16;[7.95, 20.79, 0.0]
P6[6.70,18.03,0.00]=2.73;P5[13.00,24.00,0.00]=5.92;P9[13.00,16.50,0.00]=6.85;P7[2.90,24.00,0.00]=5.99;[7.89, 20.88, -0.0]
P6[6.70,18.03,0.00]=2.72;P5[13.00,24.00,0.00]=6.06;P7[2.90,24.00,0.00]=6.17;P9[13.00,16.50,0.00]=6.84;[7.87, 20.73, 0.0]
P6[6.70,18.03,0.00]=2.74;P5[13.00,24.00,0.00]=5.97;P7[2.90,24.00,0.00]=6.18;P9[13.00,16.50,0.00]=7.00;[7.87, 20.87, 0.0]
P6[6.70,18.03,0.00]=2.68;P5[13.00,24.00,0.00]=5.90;P7[2.90,24.00,0.00]=6.10;P9[13.00,16.50,0.00]=6.91;[7.91, 20.88, 0.0]
P6[6.70,18.03,0.00]=2.68;P5[13.00,24.00,0.00]=5.82;P7[2.90,24.00,0.00]=6.17;P9[13.00,16.50,0.00]=6.84;[8.0, 20.87, 0.0]
P6[6.70,18.03,0.00]=2.67;P5[13.00,24.00,0.00]=5.81;P7[2.90,24.00,0.00]=6.22;P9[13.00,16.50,0.00]=6.90;[8.01, 20.89, -0.83]
P6[6.70,18.03,0.00]=2.68;P5[13.00,24.00,0.00]=5.84;P9[13.00,16.50,0.00]=6.94;P7[2.90,24.00,0.00]=6.15;[7.96, 20.92, -0.78]
P6[6.70,18.03,0.00]=2.68;P5[13.00,24.00,0.00]=5.89;P9[13.00,16.50,0.00]=6.87;P7[2.90,24.00,0.00]=6.15;[7.96, 20.85, -0.73]
P6[6.70,18.03,0.00]=2.68;P5[13.00,24.00,0.00]=5.88;P9[13.00,16.50,0.00]=6.94;P7[2.90,24.00,0.00]=6.15;[7.94, 20.89, -0.84]
P6[6.70,18.03,0.00]=2.71;P5[13.00,24.00,0.00]=5.89;P9[13.00,16.50,0.00]=6.90;P7[2.90,24.00,0.00]=6.20;[7.95, 20.86, 0.0]
P6[6.70,18.03,0.00]=2.72;P5[13.00,24.00,0.00]=5.94;P9[13.00,16.50,0.00]=6.88;P7[2.90,24.00,0.00]=6.12;[7.92, 20.84, -0.79]
P6[6.70,18.03,0.00]=2.84;P5[13.00,24.00,0.00]=5.92;P9[13.00,16.50,0.00]=6.84;P7[2.90,24.00,0.00]=6.18;[7.96, 20.84, 0.0]
P6[6.70,18.03,0.00]=2.71;P5[13.00,24.00,0.00]=5.95;P7[2.90,24.00,0.00]=6.13;P9[13.00,16.50,0.00]=6.98;[7.89, 20.88, -0.97]
P6[6.70,18.03,0.00]=2.69;P5[13.00,24.00,0.00]=6.00;P7[2.90,24.00,0.00]=6.19;P9[13.00,16.50,0.00]=6.81;[7.92, 20.74, 0.0]
P6[6.70,18.03,0.00]=2.68;P5[13.00,24.00,0.00]=5.93;P7[2.90,24.00,0.00]=6.14;P9[13.00,16.50,0.00]=6.86;[7.94, 20.82, -0.75]
P6[6.70,18.03,0.00]=2.65;P5[13.00,24.00,0.00]=5.95;P7[2.90,24.00,0.00]=6.14;P9[13.00,16.50,0.00]=6.79;[7.93, 20.77, 0.0]
P6[6.70,18.03,0.00]=2.74;P5[13.00,24.00,0.00]=5.90;P7[2.90,24.00,0.00]=6.16;P9[13.00,16.50,0.00]=6.85;[7.95, 20.84, 0.0]
P6[6.70,18.03,0.00]=2.70;P5[13.00,24.00,0.00]=5.92;P7[2.90,24.00,0.00]=6.09;P9[13.00,16.50,0.00]=6.89;[7.9, 20.86, 0.0]
P6[6.70,18.03,0.00]=2.73;P5[13.00,24.00,0.00]=5.93;P7[2.90,24.00,0.00]=6.16;P9[13.00,16.50,0.00]=6.83;[7.96, 20.81, -0.8]
P6[6.70,18.03,0.00]=2.74;P5[13.00,24.00,0.00]=5.87;P7[2.90,24.00,0.00]=6.09;P9[13.00,16.50,0.00]=6.90;[7.93, 20.91, 0.0]
P6[6.70,18.03,0.00]=2.62;P5[13.00,24.00,0.00]=5.88;P7[2.90,24.00,0.00]=6.16;P9[13.00,16.50,0.00]=6.94;[7.92, 20.88, 0.0]
P6[6.70,18.03,0.00]=2.63;P5[13.00,24.00,0.00]=5.85;P7[2.90,24.00,0.00]=6.18;P9[13.00,16.50,0.00]=6.81;[7.99, 20.82, 0.0]
P6[6.70,18.03,0.00]=2.62;P5[13.00,24.00,0.00]=5.89;P9[13.00,16.50,0.00]=6.88;P7[2.90,24.00,0.00]=6.08;[7.92, 20.86, -0.44]
P6[6.70,18.03,0.00]=2.63;P5[13.00,24.00,0.00]=5.86;P9[13.00,16.50,0.00]=8.05;P7[2.90,24.00,0.00]=6.18;[7.56, 21.6, 0.0]
P6[6.70,18.03,0.00]=2.64;P5[13.00,24.00,0.00]=5.92;P9[13.00,16.50,0.00]=7.59;P7[2.90,24.00,0.00]=6.20;[7.76, 21.2, -1.63]
P6[6.70,18.03,0.00]=2.58;P5[13.00,24.00,0.00]=5.92;P9[13.00,16.50,0.00]=7.02;P7[2.90,24.00,0.00]=6.12;[7.86, 20.9, 0.0]
P6[6.70,18.03,0.00]=2.60;P5[13.00,24.00,0.00]=5.93;P9[13.00,16.50,0.00]=8.15;P7[2.90,24.00,0.00]=6.26;[7.5, 21.61, 0.0]
P6[6.70,18.03,0.00]=2.65;P5[13.00,24.00,0.00]=5.91;P9[13.00,16.50,0.00]=6.94;P7[2.90,24.00,0.00]=6.11;[7.89, 20.88, 0.0]
P6[6.70,18.03,0.00]=2.58;P5[13.00,24.00,0.00]=5.85;P9[13.00,16.50,0.00]=7.01;P7[2.90,24.00,0.00]=6.10;[7.89, 20.94, 0.0]
P6[6.70,18.03,0.00]=2.60;P5[13.00,24.00,0.00]=5.87;P9[13.00,16.50,0.00]=8.20;P7[2.90,24.00,0.00]=6.11;[7.56, 21.61, -1.86]
P6[6.70,18.03,0.00]=2.60;P5[13.00,24.00,0.00]=5.87;P9[13.00,16.50,0.00]=8.14;P7[2.90,24.00,0.00]=6.13;[7.59, 21.56, -1.85]
P6[6.70,18.03,0.00]=2.63;P5[13.00,24.00,0.00]=5.94;P7[2.90,24.00,0.00]=6.16;null;[8.06, 20.59, 0.0]
P6[6.70,18.03,0.00]=2.62;P5[13.00,24.00,0.00]=5.87;P9[13.00,16.50,0.00]=8.14;P7[2.90,24.00,0.00]=6.16;[7.51, 21.66, 0.0]
